DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions
"
2021-12-2310:24
",0,https://losangeles.craigslist.org/sfv/atq/d/santa-clarita-newhall-ca-town-history/7424358978.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1708:48
",20,https://losangeles.craigslist.org/sgv/ele/d/arcadia-fabric-indoor-tv-aerial-for/7421936591.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-0818:15
",119,https://losangeles.craigslist.org/sfv/for/d/sherman-oaks-near-new-wheeler-black/7418369323.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0702:15
",80,https://losangeles.craigslist.org/lac/tag/d/glendale-lego-avengers-quinjet-aerial/7417533585.html,,,,excellent,,,,,,,,,,Lego,Avengers Quinjet,0
"
2021-12-1315:56
",40,https://losangeles.craigslist.org/lgb/clt/d/lakewood-aerial-photo-90s-mcdonnell/7420435415.html,,,,like new,,,,,,,,,,McDonnell Douglas,0,"30"" x 40"""
"
2021-12-1314:23
",40,https://losangeles.craigslist.org/lgb/clt/d/lakewood-aerial-photo-90s-long-beach/7420396883.html,,,,like new,,,,,,,,,,McDonnell Douglas,0,"30"" x 40"""
"
2021-12-1814:46
",20,https://losangeles.craigslist.org/lgb/clt/d/long-beach-military-signal-container-mk/7422521886.html,,,,excellent,,,,,,,,,,"Aerial Products, Elkton, MD",MK 3 M00 0 563246-C MK 13-0,"7-1/2""x 5-5/8""x6"""
"
2021-12-1211:15
",595,https://losangeles.craigslist.org/sfv/tag/d/glendale-smith-miller-aerial-ladder/7419885061.html,,,,excellent,,,,,,,,,,Smith Miller,"35"" Ladder Truck",0
"
2021-12-0714:59
",2499,https://losangeles.craigslist.org/wst/fod/d/chouteau-jlg-12sp-vertical-lift-bil-jax/7417850996.html,delivery available,deli,,good,,,,,,,,,,JLG,12SP,0
"
2021-12-0307:04
",5499,https://losangeles.craigslist.org/lac/fod/d/chouteau-2008-skyjack-sjiii-3226/7415862388.html,delivery available,deli,,good,,,,,,,,,,Skyjack,SJIII 3226,0
"
2021-12-1216:28
",50,https://losangeles.craigslist.org/lgb/clt/d/whittier-dodger-fan-banner-sign-bundle/7420007625.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2309:33
",300,https://losangeles.craigslist.org/sgv/ele/d/san-gabriel-brand-new-dji-mavic-mini/7424333947.html,,,,new,,,,,,,,,,Dji,Dji Mavic Mini FlyMore Combo,5inch
"
2021-12-0321:16
",345,https://losangeles.craigslist.org/sfv/avo/d/pacoima-helicopter-flight-services/7416226691.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1211:06
",76950,https://losangeles.craigslist.org/sfv/hvo/d/simi-valley-genie/7419880481.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2215:04
",24800,https://losangeles.craigslist.org/wst/bfd/d/portland-80-kw-merlin-mitsubishi-diesel/7424095204.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2214:56
",150,https://losangeles.craigslist.org/sfv/ele/d/north-hills-lilliput-339-dw-fpv-hdmi/7424092202.html,,,,excellent,,,,,,,,,,Lilliput,339/DW,185mm x 126mm x 30mm
"
2021-12-2215:01
",3995,https://losangeles.craigslist.org/sgv/hvd/d/san-diego-cascade-45d-fpb-128-side/7424093824.html,delivery available,deli,,,,,,,,,,,,Cascade,45D-FPB-128,0
"
2021-12-2215:00
",1195,https://losangeles.craigslist.org/sfv/hvd/d/san-diego-universal-11-class-carpet/7424093704.html,delivery available,deli,,,,,,,,,,,,Universal,11' Class 3 Carpet Pole,0
"
2021-12-2212:26
",150,https://losangeles.craigslist.org/wst/ele/d/venice-lead-acid-deep-cycle-6v-golf/7424030946.html,,,,like new,,,,,,,,,,Duracell,SLIGC110,10.25 in x 7.125 in x 10.875 in
"
2021-12-1910:29
",59,https://losangeles.craigslist.org/lac/art/d/los-angeles-printed-framed-photographs/7422765115.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-2211:04
",60,https://losangeles.craigslist.org/sfv/pho/d/van-nuys-drone-for-beginner/7423992372.html,,,,new,,,,,,,,,,HDRC,Hunters,0
"
2021-12-2115:04
",3700,https://losangeles.craigslist.org/lgb/bfs/d/montebello-snorkel-lift-scissor-lift/7423696681.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2114:23
",100000,https://losangeles.craigslist.org/lac/wad/d/glendale-buying-video-photo-production/7423680865.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2017:00
",60,https://losangeles.craigslist.org/sgv/tag/d/los-angeles-lego-technic-retired/7423324711.html,,,,new,,,,,,,,,,LEGO,42057,10.32 x 5.55 x 1.89 inches
"
2021-12-2014:47
",6500,https://losangeles.craigslist.org/sgv/tls/d/baldwin-park-electric-16-platform/7423278696.html,,,,new,,,,,,,,,,RUIBIAO,0.5-4,2250*950*1200 (mm)
"
2021-12-0702:15
",0,https://losangeles.craigslist.org/lac/tag/d/glendale-lego-batman-retired-collector/7417533566.html,,,,excellent,,,,,,,,,,Lego,Batman,0
"
2021-12-0615:07
",425,https://losangeles.craigslist.org/sfv/hvd/d/los-angeles-rental-tow-behind-chippers/7417398609.html,,,,,,,,,,,,,,Bandit,"15XP, 18XP, 21XP",0
"
2021-12-2008:50
",0,https://losangeles.craigslist.org/wst/hvd/d/cat-ct660s-truck-tractor-day-cab-2013/7423100154.html,,,,good,,,,,,,,,,Cat CT660S Truck Tractor Day Cab,Cat CT660S Truck Tractor Day Cab,0
"
2021-12-0609:00
",425,https://losangeles.craigslist.org/sfv/hvd/d/los-angeles-we-rent-the-good-tree-and/7417196147.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0607:32
",600,https://losangeles.craigslist.org/sfv/hvd/d/los-angeles-rental-track-chippers-2256/7417144397.html,,,,,,,,,,,,,,Bandit,0,0
"
2021-12-1920:51
",34900,https://losangeles.craigslist.org/wst/hvd/d/international-8600-tandem-axle-cab/7422956615.html,,,,good,,,,,,,,,,INTERNATIONAL DAY CAB 2011',INTERNATIONAL DAY CAB 2011',0
"
2021-12-1915:29
",34900,https://losangeles.craigslist.org/wst/hvd/d/international-day-cab-miles/7422881105.html,,,,good,,,,,,,,,,INTERNATIONAL DAY CAB 2012',INTERNATIONAL DAY CAB 2012',0
"
2021-12-0509:05
",20,https://losangeles.craigslist.org/wst/vgm/d/torrance-xbox-360-live-games/7416778545.html,,,,new,,,,,,,,,,Disney/WB,Xbox,0
"
2021-12-1813:15
",50,https://losangeles.craigslist.org/sfv/ele/d/northridge-snaptaln-a15h-foldable-drone/7422485233.html,,,,new,,,,,,,,,,snaptain,A15H,0
"
2021-12-1718:31
",1450,https://losangeles.craigslist.org/sgv/ele/d/pasadena-transparent-audio-reference/7422187446.html,,,,good,,,,,,,,,,Transparent Audio,Reference,0
"
2021-12-1712:08
",3695,https://losangeles.craigslist.org/lgb/hvd/d/san-diego-star-industries-72-smooth/7422044033.html,delivery available,deli,,,,,,,,,,,,Star Industries,0,0
"
2021-12-1712:08
",21995,https://losangeles.craigslist.org/sgv/hvd/d/san-diego-genie-gs4069-rough-terrain/7422043928.html,delivery available,deli,,,,,,,,,,,,Genie,GS4069DC,0
"
2021-12-1708:35
",840,https://losangeles.craigslist.org/sgv/ele/d/west-covina-laser-aurora-4c-laser/7421929388.html,,,,,,,,,,,,,,0,0,0
