DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,size / dimensions,make / manufacturer,model name / number,bicycle frame material,bicycle type,brake type,frame size,handlebar type,suspension,wheel size,length overall (LOA),propulsion type,year manufactured,number available,engine hours (total),media type
"
2021-12-1316:49
",150,https://losangeles.craigslist.org/ant/clo/d/los-angeles-navy-pea-coat-all-wool-dark/7420454728.html,,,,excellent,,,,,,,,,,XL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2709:36
",220,https://losangeles.craigslist.org/sfv/fuo/d/van-nuys-siu-convertible-futon-bed-dark/7413282830.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1910:11
",200,https://losangeles.craigslist.org/wst/fuo/d/redondo-beach-solid-wood-bookcase-alf/7422757291.html,,,,like new,,,,,,,,,,40” x 15” x 84”,Alf Italia,Pisa,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1815:19
",500,https://losangeles.craigslist.org/sfv/clo/d/van-nuys-saddleback-leather-original/7422533343.html,,,,excellent,,,,,,,,,,0,Saddleback Leather,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0419:00
",0,https://losangeles.craigslist.org/sfv/grd/d/pond-maintenance-pond-clean-out/7416630490.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2313:22
",10,https://losangeles.craigslist.org/sgv/tag/d/west-covina-3d-led-light/7424432818.html,,,,new,,,,,,,,,,4X4X8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2313:17
",849,https://losangeles.craigslist.org/sgv/ele/d/south-el-monte-idolmain-ips-dj06/7424430851.html,delivery available,deli,,new,,,,,,,,,,0,IDOLmain,IPS-DJ06,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1216:12
",500,https://losangeles.craigslist.org/wst/bik/d/redondo-beach-cannondale-comfort/7420002387.html,,,,excellent,,,,,,,,,,0,Cannondale,500,aluminum,hybrid/comfort,caliper,58 cm,flat,other/unknown,27 in,0,0,0,0,0,0
"
2021-12-2310:53
",242,https://losangeles.craigslist.org/lac/bfd/d/whittier-easy-assembly-steel-shelving/7424371735.html,delivery available,deli,,new,,,,,,,,,,0,Budge Shelves Corp,200 series,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:01
",34995,https://losangeles.craigslist.org/wst/ctd/d/torrance-2019-buick-enclave-essence/7424347372.html,2019 Buick Enclave,2019,36227,,6 cylinders,fwd,gas,white,mid-size,clean,automatic,SUV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2309:20
",0,https://losangeles.craigslist.org/sgv/clt/d/spawn-action-figures-mc-farlane-toys/7424328023.html,,,,,,,,,,,,,,0,T. McFarlane Toys,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2309:16
",0,https://losangeles.craigslist.org/sgv/clt/d/spawn-action-figures-mc-farlane-toys/7424325792.html,,,,,,,,,,,,,,0,Todd McFarlane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-3014:42
",0,https://losangeles.craigslist.org/lac/msg/d/los-angeles-korg-krome-88-keyboard/7414755355.html,,,,new,,,,,,,,,,57.01 x 15.08 x 5.16 inches,KORG,KROME88,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2308:22
",39974,https://losangeles.craigslist.org/lgb/ctd/d/torrance-2018-mercedes-benz-class-300/7424299888.html,2018 Mercedes-Benz E-Class,2018,62503,,4 cylinders,4wd,gas,grey,mid-size,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2012:47
",12,https://losangeles.craigslist.org/sfv/hab/d/organic-lip-gloss-with-built-in-light/7423225437.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1500:27
",11500,https://losangeles.craigslist.org/lac/boa/d/san-diego-classic-pacific-seacraft-25/7420976137.html,delivery available,deli,,good,,,,,,,,,,0,Pacific Seacraft,25,0,0,0,0,0,0,0,28,sail,1976,0,0,0
"
2021-11-2318:30
",10,https://losangeles.craigslist.org/sgv/grd/d/monterey-park-dwarf-thai-banana-trees/7412028171.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0412:51
",0,https://losangeles.craigslist.org/sgv/clt/d/pasadena-dc-action-figures-batman/7416503298.html,,,,excellent,,,,,,,,,,0,Kenner/Hasbro,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1609:26
",69,https://losangeles.craigslist.org/sfv/for/d/sherman-oaks-slightly-used-near-new-28/7421535974.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2218:57
",31987,https://losangeles.craigslist.org/lac/ctd/d/tustin-2018-mercedes-benz-class-300/7424161320.html,2018 Mercedes-Benz C-Class,2018,38712,,4 cylinders,rwd,gas,white,compact,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1311:26
",0,https://losangeles.craigslist.org/sfv/grd/d/granada-hills-pink-trumpet-cactus/7420309295.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2218:32
",34974,https://losangeles.craigslist.org/lac/ctd/d/tustin-2018-lexus-es-350-es-350-skuju/7424156114.html,2018 Lexus ES 350,2018,22058,,6 cylinders,fwd,gas,white,mid-size,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-3002:18
",100,https://losangeles.craigslist.org/sgv/clt/d/pasadena-pogs-pog-collection-with/7414440041.html,,,,like new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2509:56
",5,https://losangeles.craigslist.org/sgv/clt/d/la-puente-rock-vinyl-records-lps-albums/7412577355.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
