DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,media type,size / dimensions,engine displacement (CC),number available,venue,bicycle frame material,bicycle type,frame size,wheel size
"
2021-11-3013:06
",25,https://losangeles.craigslist.org/sfv/pts/d/chatsworth-new-jeep-rear-mesh-sun-shade/7414709980.html,,,,new,,,,,,,,,,Alien Sunshade,JLU4B-Mesh,0,0,0,0,0,0,0,0,0
"
2021-12-2012:22
",85,https://losangeles.craigslist.org/lgb/clt/d/norwalk-stainless-steel-collectors/7423214035.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2810:33
",19,https://losangeles.craigslist.org/sgv/emd/d/monterey-park-blu-ray-disc-alien-vs/7413708989.html,,,,new,,,,,,,,,,0,0,blu-ray,0,0,0,0,0,0,0,0
"
2021-12-0601:56
",100,https://losangeles.craigslist.org/wst/tag/d/santa-monica-alien-xenomorph-big-chap/7417062716.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1509:31
",10,https://losangeles.craigslist.org/wst/pho/d/los-angeles-case-for-paul-buff-alien/7421122124.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2218:48
",240,https://losangeles.craigslist.org/sfv/clo/d/stevenson-ranch-new-authentic-yeezy/7424159476.html,,,,new,,,,,,,,,,adidas,alien blue size 10,0,0,0,0,0,0,0,0,0
"
2021-12-0720:01
",250,https://losangeles.craigslist.org/lac/pho/d/los-angeles-paul-buff-alien-strobe-w/7417946525.html,,,,good,,,,,,,,,,Paul Buff,Alien B 1600,0,6x6x4,0,0,0,0,0,0,0
"
2021-12-2114:27
",500,https://losangeles.craigslist.org/lac/atq/d/los-angeles-alien-bee-bees/7423682753.html,,,,excellent,,,,,,,,,,Paul C. Buff,Alien Bees,0,0,0,0,0,0,0,0,0
"
2021-12-2114:30
",250,https://losangeles.craigslist.org/lac/pho/d/los-angeles-alien-bees-bee-paul-buff/7423683745.html,,,,excellent,,,,,,,,,,Paul C. Buff,Alien Bees,0,0,0,0,0,0,0,0,0
"
2021-11-2920:52
",45,https://losangeles.craigslist.org/lac/bks/d/jackson-outrages-book-alien-artifacts/7414408219.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1817:14
",300,https://losangeles.craigslist.org/lac/msg/d/los-angeles-alien-bass-station/7422567457.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0414:36
",40,https://losangeles.craigslist.org/wst/spo/d/los-angeles-alien-sport-by-pat-simmons/7416551219.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1515:48
",375,https://losangeles.craigslist.org/sfv/msg/d/north-hollywood-hondo-alien-headless/7421298775.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1215:31
",75,https://losangeles.craigslist.org/sgv/pho/d/arcadia-paul-buff-alien-bees-lg4x-wired/7419988698.html,,,,like new,,,,,,,,,,White lightning Alien Bees,0,0,0,0,0,0,0,0,0,0
"
2021-11-3009:37
",40,https://losangeles.craigslist.org/sgv/spo/d/pasadena-golf-club-alien-wood/7414590864.html,,,,good,,,,,,,,,,Alien Golf,iFairway 3W 14°,0,0,0,0,0,0,0,0,0
"
2021-11-3009:36
",60,https://losangeles.craigslist.org/sgv/spo/d/pasadena-golf-club-alien-driver/7414590496.html,,,,good,,,,,,,,,,Alien Golf,"iDriver 460, 10°",0,0,0,0,0,0,0,0,0
"
2021-12-2310:29
",25,https://losangeles.craigslist.org/sfv/tag/d/valencia-collectible-disney-toy-story/7424361092.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2309:37
",65,https://losangeles.craigslist.org/sfv/tag/d/valencia-collectible-ben-10-action/7424335936.html,,,,like new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2017:47
",175,https://losangeles.craigslist.org/wst/clt/d/san-pedro-entity-comics-zen/7423338504.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0714:42
",3,https://losangeles.craigslist.org/sfv/emd/d/valley-village-over-120-new-unopened/7417843689.html,,,,new,,,,,,,,,,0,0,dvd,0,0,0,0,0,0,0,0
"
2021-12-1809:17
",0,https://losangeles.craigslist.org/sgv/clt/d/pasadena-files-movie-action-figures/7422365551.html,,,,excellent,,,,,,,,,,McFarlane Toys,16100,0,0,0,0,0,0,0,0,0
"
2021-12-2014:28
",15,https://losangeles.craigslist.org/wst/clt/d/culver-city-mad-comic-no-236-jan-et/7423271470.html,,,,good,,,,,,,,,,Mad Comic,No. 236 Jan 1983 E.T.,0,0,0,0,0,0,0,0,0
"
2021-12-2216:09
",0,https://losangeles.craigslist.org/lac/wan/d/have-cash-in-hand-to-pay-for-rare-and/7424116924.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0609:01
",15,https://losangeles.craigslist.org/lac/vgm/d/los-angeles-gaming-headphones-new-lot/7417196632.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2209:22
",15,https://losangeles.craigslist.org/sfv/emd/d/north-hollywood-lot-of-13-horror-movie/7423941317.html,,,,good,,,,,,,,,,0,0,dvd,0,0,0,0,0,0,0,0
"
2021-12-0515:15
",249,https://losangeles.craigslist.org/sgv/spo/d/monterey-park-la-jolla-junior-teen-rh/7416943593.html,,,,excellent,,,,,,,,,,La Jolla Golf,220.S,0,0,0,0,0,0,0,0,0
"
2021-12-0109:07
",0,https://losangeles.craigslist.org/sgv/tag/d/toys-various-action-figures/7415031475.html,,,,,,,,,,,,,,Various,0,0,0,0,0,0,0,0,0,0
"
2021-12-0609:54
",0,https://losangeles.craigslist.org/sgv/clt/d/various-action-figures/7417229842.html,,,,,,,,,,,,,,Various,0,0,0,0,0,0,0,0,0,0
"
2021-12-0609:53
",0,https://losangeles.craigslist.org/sgv/clt/d/various-action-figures/7417229008.html,,,,,,,,,,,,,,Various,0,0,0,0,0,0,0,0,0,0
"
2021-12-2114:44
",100000,https://orangecounty.craigslist.org/wad/d/orange-wanted-buying-all-instruments/7423689210.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2112:00
",0,https://losangeles.craigslist.org/lac/pho/d/los-angeles-strobes-for-sale/7423616755.html,,,,,,,,,,,,,,Paul C Buff,0,0,0,0,0,0,0,0,0,0
"
2021-11-2122:57
",1400,https://losangeles.craigslist.org/wst/msg/d/los-angeles-digitech-talker-very-rare/7411189816.html,,,,excellent,,,,,,,,,,Digitech,Talker,0,0,0,0,0,0,0,0,0
"
2021-12-0111:11
",99,https://losangeles.craigslist.org/lac/clt/d/los-angeles-aliens-ufo-files-roswell/7415103525.html,,,,excellent,,,,,,,,,,ALIENS,UFO,0,0,0,0,0,0,0,0,0
"
2021-12-1112:28
",500000,https://losangeles.craigslist.org/wst/art/d/sacramento-sci-fi-screenply-for-sale-by/7419547710.html,delivery available,deli,,new,,,,,,,,,,A Corporation Limited to...,"""Exile""",0,Original screenplay hardcopy/pdf,0,0,0,0,0,0,0
"
2021-12-1607:50
",350,https://losangeles.craigslist.org/sfv/pho/d/valley-village-aquatech-sound-blimps/7421484468.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1607:49
",200,https://losangeles.craigslist.org/sfv/pho/d/valley-village-quantum-4i-radio-slave/7421484242.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2815:02
",3500,https://losangeles.craigslist.org/lac/clt/d/los-angeles-rare-statue-from-legendary/7413829849.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2006:29
",10,https://losangeles.craigslist.org/lac/for/d/los-angeles-modern-board-games/7423031154.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1918:11
",150,https://losangeles.craigslist.org/wst/emd/d/los-angeles-dvd-movie-lot-over-270-dvds/7422925259.html,delivery available,deli,,good,,,,,,,,,,0,0,dvd,0,0,0,0,0,0,0,0
