DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions
"
2021-12-1815:44
",0,https://losangeles.craigslist.org/lac/fod/d/fullerton-new-used-pool-table-classic/7422541640.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-1910:59
",55,https://losangeles.craigslist.org/lac/vgm/d/los-angeles-arcade-legends-radica-sega/7422777630.html,,,,like new,,,,,,,,,,0,0,0
"
2021-11-2908:35
",1500,https://losangeles.craigslist.org/lac/vgm/d/riverside-tabletop-arcade-machine-games/7414079818.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1609:38
",2500,https://losangeles.craigslist.org/lac/tag/d/riverside-arcade-custom-built-games/7421542175.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1308:10
",2500,https://losangeles.craigslist.org/lac/ele/d/riverside-arcade-custom-built-machine/7420196704.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1609:37
",1300,https://losangeles.craigslist.org/lac/tag/d/riverside-arcade-machine-games-tabletop/7421542016.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1609:37
",1100,https://losangeles.craigslist.org/lac/tag/d/riverside-arcade-tabletop-frogger-games/7421541918.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0415:39
",3300,https://losangeles.craigslist.org/lac/vgm/d/los-angeles-atari-star-wars-arcade-game/7416574964.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2101:02
",7,https://losangeles.craigslist.org/lac/vgm/d/los-angeles-atari-arcade-duo-powered/7423403652.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-1423:26
",120,https://losangeles.craigslist.org/lac/tag/d/beverly-hills-little-tikes-easy-score/7420972006.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-1618:21
",2000,https://losangeles.craigslist.org/wst/for/d/gardena-golden-tee-complete-upright/7421762791.html,delivery available,deli,,good,,,,,,,,,,0,0,0
"
2021-12-1714:28
",220,https://losangeles.craigslist.org/sfv/vgm/d/van-nuys-pandoras-box-3d-v20se-hdmi/7422107091.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1718:55
",140,https://losangeles.craigslist.org/sfv/vgm/d/van-nuys-ps7000-hdmi-retro-arcade/7422193106.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2220:16
",1000,https://losangeles.craigslist.org/lgb/ele/d/san-pedro-star-wars-video-arcade-game/7424176318.html,delivery available,deli,,excellent,,,,,,,,,,arcade1,star wars,0
"
2021-12-0518:10
",15,https://losangeles.craigslist.org/sfv/vgm/d/van-nuys-universe-bios-40-arcade-snk/7416997988.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2017:09
",60,https://losangeles.craigslist.org/sfv/vgm/d/van-nuys-honcam-arcade-fighting-stick/7423327582.html,,,,,,,,,,,,,,0,0,0
