DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions
"
2021-12-0512:04
",85,https://losangeles.craigslist.org/lgb/for/d/yorba-linda-new-ft-pre-lit-fiber-optic/7416864011.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-0121:16
",1,https://losangeles.craigslist.org/lac/for/d/los-angeles-pachyclavularia-violacea/7415327413.html,,,,,,,,,,,,,,Aquarium Coral - Fish Tank,Aquarium - Fish Tank corals,0
"
2021-11-2012:29
",1,https://losangeles.craigslist.org/lac/for/d/los-angeles-easy-beginner-corals-green/7410634833.html,,,,,,,,,,,,,,Aquarium Coral - Fish Tank,Aquarium - Fish Tank corals,0
"
2021-11-2208:32
",10,https://losangeles.craigslist.org/lgb/bks/d/long-beach-all-the-shahs-men-crescent/7411320102.html,,,,like new,,,,,,,,,,0,0,0
"
2021-12-1606:32
",37985,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2019-ram-ram-pickup-1500-big/7421451963.html,2019 Ram Ram Pickup 1500,2019,71509,,8 cylinders,rwd,gas,grey,full-size,clean,automatic,pickup,,0,0,0
"
2021-12-1515:14
",0,https://losangeles.craigslist.org/sfv/ctd/d/bellflower-2015-ram-promaster-cargo-van/7421286136.html,2015 Ram ProMaster Cargo Van,2015,127924,,,,gas,white,full-size,clean,automatic,van,3C6TRVDGXFE509687,0,0,0
"
2021-12-0721:59
",600,https://losangeles.craigslist.org/wst/clt/d/los-angeles-65-sharp-aquos-lcd-hdtv-and/7417966578.html,,,,like new,,,,,,,,,,Sharp,Aquos,0
"
2021-12-0114:05
",20,https://losangeles.craigslist.org/sgv/grd/d/los-angeles-hanging-baskets-creeping/7415193772.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2312:17
",25,https://losangeles.craigslist.org/sfv/for/d/canyon-country-led-light/7424407575.html,,,,new,,,,,,,,,,commercial electric,0,0
"
2021-12-0112:42
",40,https://losangeles.craigslist.org/wst/grd/d/santa-monica-aeonium-arboreum-is/7415152406.html,cryptocurrency ok,cryp,,,,,,,,,,,,0,0,0
"
2021-12-2310:56
",33247,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2014-chevrolet-silverado-1500/7424373075.html,2014 Chevrolet Silverado 1500,2014,78432,,6 cylinders,4wd,gas,black,full-size,clean,automatic,pickup,,0,0,0
"
2021-12-2216:52
",980,https://losangeles.craigslist.org/sfv/ppd/d/woodland-hills-lg-smart-front-load/7424130074.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2214:48
",3090,https://losangeles.craigslist.org/sfv/ppd/d/woodland-hills-bosch-36-counter-depth/7424089234.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2214:37
",2890,https://losangeles.craigslist.org/sfv/ppd/d/woodland-hills-bosch-800-series-36/7424085082.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0512:04
",45,https://losangeles.craigslist.org/lgb/hsh/d/yorba-linda-new-ft-fiber-optic/7416864190.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-0622:14
",59,https://losangeles.craigslist.org/sfv/clt/d/castaic-players-navy-cut-tobacco/7417514862.html,,,,excellent,,,,,,,,,,0,0,"19.75"" W x 23.5"" H"
"
2021-12-1209:07
",80,https://losangeles.craigslist.org/lac/ele/d/los-angeles-dell-v305w-all-in-one/7419825672.html,,,,good,,,,,,,,,,Dell,V305w,0
"
2021-12-2206:12
",34495,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2016-chevrolet-silverado-1500/7423853588.html,2016 Chevrolet Silverado 1500,2016,33350,,8 cylinders,rwd,gas,silver,full-size,clean,automatic,pickup,,0,0,0
"
2021-12-1813:29
",31071,https://losangeles.craigslist.org/sgv/ctd/d/cerritos-2016-chevrolet-silverado-1500/7422490988.html,2016 Chevrolet Silverado 1500,2016,82682,,8 cylinders,4wd,gas,white,full-size,clean,automatic,pickup,,0,0,0
"
2021-12-2122:38
",20,https://losangeles.craigslist.org/sgv/app/d/pasadena-commercial-electric-spin-light/7423800103.html,,,,new,,,,,,,,,,Commercial Electic,54483142,"7.01""x7.01""x3.54"""
"
2021-11-2911:32
",100000,https://losangeles.craigslist.org/lac/wad/d/glendale-buying-recording-equipment/7414189362.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1110:47
",45980,https://losangeles.craigslist.org/sgv/ctd/d/buena-park-2016-gmc-yukon-denali-4x4/7419494208.html,2016 GMC Yukon XL,2016,87780,,8 cylinders,4wd,gas,white,full-size,clean,automatic,SUV,,0,0,0
"
2021-12-2014:05
",175,https://losangeles.craigslist.org/sfv/ele/d/porter-ranch-samsung-galaxy-tab-sm-t580/7423261903.html,,,,like new,,,,,,,,,,Samsung,"Galaxy Tab A 10.1"" 16GB",0
"
2021-12-0711:20
",57299,https://losangeles.craigslist.org/lgb/ctd/d/scottsdale-2020-chevrolet-chevy/7417741336.html,2020 Chevrolet Silverado 1500 RST,2020,15926,,8 cylinders,4wd,gas,white,,clean,automatic,pickup,3GCUYEEDXLG105907,0,0,0
"
2021-12-0108:35
",309,https://losangeles.craigslist.org/lac/ctd/d/south-el-monte-2014-chevrolet-silverado/7415013243.html,2014 Chevrolet Silverado 1500 LT,2014,,,8 cylinders,rwd,gas,,,clean,automatic,,3GCPCREC5EG458486,0,0,0
"
2021-12-2009:04
",100,https://losangeles.craigslist.org/lac/grd/d/moreno-valley-citrus-15-gallon/7423108063.html,delivery available,deli,,excellent,,,,,,,,,,0,0,0
"
2021-12-2008:50
",0,https://losangeles.craigslist.org/wst/hvd/d/cat-ct660s-truck-tractor-day-cab-2013/7423100154.html,,,,good,,,,,,,,,,Cat CT660S Truck Tractor Day Cab,Cat CT660S Truck Tractor Day Cab,0
"
2021-12-2007:47
",41998,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2019-chevrolet-silverado-1500/7423066309.html,2019 Chevrolet Silverado 1500,2019,35253,,8 cylinders,rwd,gas,black,full-size,clean,automatic,pickup,,0,0,0
"
2021-12-2006:18
",35995,https://losangeles.craigslist.org/wst/ctd/d/torrance-2017-chevrolet-silverado-1500/7423027145.html,2017 Chevrolet Silverado 1500,2017,80097,,8 cylinders,4wd,gas,custom,full-size,clean,automatic,pickup,,0,0,0
"
2021-12-1920:51
",34900,https://losangeles.craigslist.org/wst/hvd/d/international-8600-tandem-axle-cab/7422956615.html,,,,good,,,,,,,,,,INTERNATIONAL DAY CAB 2011',INTERNATIONAL DAY CAB 2011',0
"
2021-12-1915:29
",34900,https://losangeles.craigslist.org/wst/hvd/d/international-day-cab-miles/7422881105.html,,,,good,,,,,,,,,,INTERNATIONAL DAY CAB 2012',INTERNATIONAL DAY CAB 2012',0
"
2021-12-1819:15
",1,https://losangeles.craigslist.org/wst/bks/d/los-angeles-chick-lit-fiction-books/7422593527.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0108:48
",34950,https://losangeles.craigslist.org/lac/ctd/d/cerritos-2017-chevrolet-silverado-1500/7415020381.html,2017 Chevrolet Silverado 1500,2017,61573,,8 cylinders,rwd,gas,grey,full-size,clean,automatic,pickup,,0,0,0
"
2021-12-1509:59
",360,https://losangeles.craigslist.org/lac/pho/d/los-angeles-sony-35mm-f28-sonnar-fe-za/7421137520.html,,,,excellent,,,,,,,,,,Sony,0,0
"
2021-12-1811:39
",30999,https://losangeles.craigslist.org/lac/ctd/d/buena-park-2016-chevrolet-silverado/7422440974.html,2016 Chevrolet Silverado 1500,2016,79944,,6 cylinders,4wd,gas,brown,full-size,clean,automatic,pickup,,0,0,0
"
2021-12-0311:04
",38488,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2018-chevrolet-silverado-1500/7415994890.html,2018 Chevrolet Silverado 1500,2018,42113,,8 cylinders,rwd,gas,white,full-size,clean,automatic,pickup,,0,0,0
"
2021-12-1108:39
",3,https://losangeles.craigslist.org/sfv/for/d/porter-ranch-neon-yellow-shrimp/7419423748.html,,,,new,,,,,,,,,,Neocaridina davidi,Neon Yellow Shrimp,1/2 inch and larger
"
2021-12-1710:13
",7500,https://losangeles.craigslist.org/lgb/ctd/d/orange-2008-hyundai-sonata-limited/7421983985.html,2008 HYUNDAI SONATA,2008,,,,fwd,gas,silver,full-size,clean,automatic,sedan,5NPEU46F18H315904,0,0,0
"
2021-12-0807:58
",37250,https://losangeles.craigslist.org/lac/ctd/d/cerritos-2018-chevrolet-silverado-1500/7418078030.html,2018 Chevrolet Silverado 1500,2018,26178,,8 cylinders,rwd,gas,black,full-size,clean,automatic,pickup,,0,0,0
"
2021-12-1610:36
",0,https://losangeles.craigslist.org/wst/clt/d/movie-and-television-memorabilia/7421573530.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1517:06
",0,https://losangeles.craigslist.org/sfv/ctd/d/bellflower-2015-ram-promaster-cargo-van/7421325658.html,2015 Ram ProMaster Cargo Van,2015,132282,,,,gas,white,full-size,clean,automatic,van,3C6URVHG2FE513490,0,0,0
"
2021-11-2909:01
",34989,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2018-chevrolet-silverado-1500/7414096215.html,2018 Chevrolet Silverado 1500,2018,44813,,8 cylinders,rwd,gas,silver,full-size,clean,automatic,pickup,,0,0,0
