DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions,media type,part type
"
2021-12-1912:08
",35,https://losangeles.craigslist.org/lac/ele/d/los-angeles-brother-touch-lable-thermal/7422806728.html,,,,like new,,,,,,,,,,0,0,0,0,0
"
2021-11-2412:38
",450,https://losangeles.craigslist.org/lac/ele/d/los-angeles-open-box-brother/7412311619.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-1413:06
",100,https://losangeles.craigslist.org/sfv/for/d/glendale-cairns-and-brother-fireman/7420801375.html,,,,good,,,,,,,,,,0,0,0,0,0
"
2021-12-1410:01
",44,https://losangeles.craigslist.org/sgv/ele/d/tujunga-brother-mfc-7420-black-white/7420704268.html,,,,excellent,,,,,,,,,,Brother,MFC-7420,"15” deep, 17” wide, 12” high",0,0
"
2021-12-1007:42
",59,https://losangeles.craigslist.org/sfv/for/d/sherman-oaks-brand-new-brother-genuine/7418958315.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-1007:57
",99,https://losangeles.craigslist.org/sfv/for/d/sherman-oaks-brand-new-brother-tn-650/7418965507.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-2307:31
",40,https://losangeles.craigslist.org/lac/for/d/los-angeles-lot-of-genuine-brother/7424276895.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-12-0401:26
",10,https://losangeles.craigslist.org/sfv/bfs/d/north-hollywood-new-brother-label-maker/7416254078.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-12-2218:13
",550,https://losangeles.craigslist.org/lac/ele/d/pasadena-brother-printer/7424151768.html,,,,new,,,,,,,,,,Brother,MFC-L8900CDW,0,0,0
"
2021-12-1407:29
",35,https://losangeles.craigslist.org/sfv/ele/d/north-hollywood-one-new-brother-genuine/7420621355.html,,,,new,,,,,,,,,,Brother,TN-350,0,0,0
"
2021-12-1103:14
",1,https://losangeles.craigslist.org/sfv/app/d/burbank-brother-sewing-machine-vintage/7419323666.html,,,,good,,,,,,,,,,Brother,0,0,0,0
"
2021-12-2215:32
",199,https://losangeles.craigslist.org/lac/art/d/los-angeles-brother-cs-6000i-sewing/7424104668.html,,,,new,,,,,,,,,,Brother,CS-6000i,0,0,0
"
2021-12-0112:52
",199,https://losangeles.craigslist.org/wst/clt/d/los-angeles-vintage-brother-charger/7415157510.html,,,,,,,,,,,,,,Brother,Charger,0,0,0
"
2021-12-0112:08
",219,https://losangeles.craigslist.org/wst/ele/d/los-angeles-brother-pw760d-word/7415135090.html,,,,excellent,,,,,,,,,,Brother,PW760D,0,0,0
"
2021-12-0112:09
",189,https://losangeles.craigslist.org/wst/clt/d/los-angeles-vintage-brother-ax660/7415135489.html,,,,,,,,,,,,,,Brother,AX-660,0,0,0
"
2021-11-2910:32
",269,https://losangeles.craigslist.org/wst/clt/d/los-angeles-vintage-brother-charger-11/7414153324.html,,,,excellent,,,,,,,,,,Brother,Charger 11,0,0,0
"
2021-12-0114:30
",219,https://losangeles.craigslist.org/wst/clt/d/los-angeles-vintage-brother-gx6750/7415204821.html,,,,excellent,,,,,,,,,,Brother,0,0,0,0
"
2021-12-0114:31
",219,https://losangeles.craigslist.org/wst/clt/d/los-angeles-vintage-brother-sx4000/7415205234.html,,,,excellent,,,,,,,,,,Brother,0,0,0,0
"
2021-12-0114:47
",279,https://losangeles.craigslist.org/wst/clt/d/los-angeles-vintage-brother-charger/7415212700.html,,,,excellent,,,,,,,,,,Brother,Charger,0,0,0
"
2021-12-2213:55
",250,https://losangeles.craigslist.org/lac/ele/d/montebello-brother-mfc-7360n-all-in-one/7424068415.html,,,,like new,,,,,,,,,,Brother,MFC-7360N,0,0,0
"
2021-12-2213:29
",15,https://losangeles.craigslist.org/sfv/ele/d/north-hollywood-digital-shirt-printer/7424057824.html,,,,like new,,,,,,,,,,Brother GTX,422 DTG,0,0,0
"
2021-12-2212:09
",50,https://losangeles.craigslist.org/ant/for/d/lancaster-brother-inkvestment-tank-mfc/7424023178.html,,,,good,,,,,,,,,,0,0,0,0,0
"
2021-12-1309:02
",1000,https://losangeles.craigslist.org/lgb/for/d/harbor-city-walking-foot-sewing-machine/7420226702.html,,,,excellent,,,,,,,,,,BROTHER WALKING FOOT,0,0,0,0
"
2021-12-2201:22
",145,https://losangeles.craigslist.org/wst/clo/d/los-angeles-brooks-brother-suede-boots/7423811955.html,,,,like new,,,,,,,,,,Brooks Brothers,Suede Boot mdl# 34220,11.5 US,0,0
