DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions
"
2021-12-2313:35
",25,https://losangeles.craigslist.org/lac/hsh/d/los-angeles-vintage-amber-cake-stand/7424437504.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-0310:48
",75,https://losangeles.craigslist.org/wst/fuo/d/wilmington-princess-house-crystal-cake/7415985362.html,,,,excellent,,,,,,,,,,Princess House,Cake Plate,0
"
2021-12-2312:55
",50,https://losangeles.craigslist.org/ant/hsh/d/lancaster-princess-house-crystal/7424422347.html,,,,like new,,,,,,,,,,Princess House,0,0
"
2021-12-1910:09
",12,https://losangeles.craigslist.org/wst/hsh/d/venice-cake-plate-stand-palissy-metal/7422756475.html,,,,excellent,,,,,,,,,,PALISSY,0,0
"
2021-11-2706:43
",10,https://losangeles.craigslist.org/sfv/atq/d/vintage-bonley-cake-decorating-kit/7413194975.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1913:48
",35,https://losangeles.craigslist.org/lac/clt/d/los-angeles-vintage-clear-glass/7422846434.html,delivery available,deli,,excellent,,,,,,,,,,0,0,0
"
2021-12-1421:16
",50,https://losangeles.craigslist.org/sfv/hsh/d/burbank-cake-plate/7420957150.html,,,,like new,,,,,,,,,,0,0,0
"
2021-12-2308:28
",200,https://losangeles.craigslist.org/wst/tag/d/torrance-ultimate-strawberry-short-cake/7424302770.html,,,,like new,,,,,,,,,,Strawberry Shortcake,Strawberry Shortcake,0
"
2021-11-2721:43
",10,https://losangeles.craigslist.org/sfv/hsh/d/new-4th-of-july-patriotic-chip-dip-cake/7413541933.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-1800:05
",25,https://losangeles.craigslist.org/wst/art/d/los-angeles-cake-glass-plate/7422236623.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0706:13
",150,https://losangeles.craigslist.org/sgv/clt/d/monterey-park-piece-set-cake-knife-and/7417575653.html,,,,like new,,,,,,,,,,Wallace Silversmiths,0,0
"
2021-12-0100:16
",45,https://losangeles.craigslist.org/wst/for/d/wann-cake-stand-pedestal-crystal-top/7414892933.html,,,,like new,,,,,,,,,,Miller Rogaska by Reed & Barton.,0,"13"" diameter / 7"" H"
"
2021-11-2607:32
",450,https://losangeles.craigslist.org/wst/hsh/d/beverly-hills-versace-medusa-flatware/7412808087.html,,,,new,,,,,,,,,,Versace,0,0
"
2021-12-2220:56
",3,https://losangeles.craigslist.org/sgv/hsh/d/monterey-park-cake-pie-pan/7424182310.html,,,,new,,,,,,,,,,0,0,0
"
2021-11-2709:25
",100,https://losangeles.craigslist.org/sfv/hsh/d/glendale-stainless-steel-cake-knives/7413276349.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2217:02
",45,https://losangeles.craigslist.org/wst/hsh/d/redondo-beach-cake-platter-punch-bowl/7424133022.html,,,,like new,,,,,,,,,,Riekes Crisa,0,"13""diameter x 13"" height"
"
2021-12-2216:51
",5,https://losangeles.craigslist.org/sfv/for/d/burbank-wilton-teddy-bear-or-3d-easter/7424129816.html,,,,like new,,,,,,,,,,0,0,0
"
2021-12-0714:22
",10,https://losangeles.craigslist.org/sfv/atq/d/tujunga-cake-plate-gravy-boats-salt/7417835007.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-0714:17
",10,https://losangeles.craigslist.org/sfv/hsh/d/sunland-cake-plate-gravy-boats-sp/7417832918.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-0714:57
",50,https://losangeles.craigslist.org/lac/hsh/d/los-angeles-early-american-pressed/7417849997.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2211:02
",17,https://losangeles.craigslist.org/sfv/hsh/d/castaic-gorgeous-ruby-red-12-inch-glass/7423991458.html,,,,like new,,,,,,,,,,0,0,0
"
2021-12-1912:06
",40,https://losangeles.craigslist.org/lac/clt/d/la-crescenta-wedding-cake-toppers/7422806039.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0108:43
",115,https://losangeles.craigslist.org/wst/hsh/d/manhattan-beach-orrefors-sweden-cake/7415017765.html,,,,new,,,,,,,,,,Orrefors Sweden,Intermezzo,0
"
2021-12-0910:16
",19,https://losangeles.craigslist.org/sfv/hsh/d/encino-cake-plates-with-knife-and-mugs/7418601332.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-2200:24
",1300,https://losangeles.craigslist.org/lac/app/d/huntington-park-cake-display-cooler/7423808571.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1401:52
",49,https://losangeles.craigslist.org/sfv/hsh/d/tarzana-new-in-box-crystal-pedestal/7420545189.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-2121:46
",800,https://losangeles.craigslist.org/sfv/hsh/d/burbank-prop-cake-topsy-turvey-teapot/7423794077.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2121:09
",30,https://losangeles.craigslist.org/lac/clt/d/los-angeles-vintage-aderia-japan-clear/7423788960.html,delivery available,deli,,excellent,,,,,,,,,,0,0,0
"
2021-12-1611:31
",65,https://losangeles.craigslist.org/lgb/hsh/d/orange-antique-elegant-crystal-plate/7421602373.html,,,,excellent,,,,,,,,,,0,0,"10"" wide / 7.5"" tall"
"
2021-12-1211:03
",5,https://losangeles.craigslist.org/lac/clt/d/glendale-cake-carrier/7419879342.html,,,,new,,,,,,,,,,Walmart,0,0
"
2021-12-1914:45
",65,https://losangeles.craigslist.org/lgb/clt/d/orange-elegant-antique-crystal-pedestal/7422866488.html,,,,excellent,,,,,,,,,,0,0,"10"" wide / 7.5"" tall"
"
2021-12-1015:20
",15,https://losangeles.craigslist.org/wst/hsh/d/los-angeles-brand-new-glass-cake-candy/7419197329.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0217:21
",115,https://losangeles.craigslist.org/sgv/hsh/d/la-puente-gold-plated-romeo-and-juliet/7415719273.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1606:20
",20,https://losangeles.craigslist.org/lac/hsh/d/monterey-park-crystal-cake-display/7421447580.html,,,,,,,,,,,,,,Krosno,0,0
"
2021-11-3023:08
",35,https://losangeles.craigslist.org/sfv/hsh/d/woodland-hills-1960s-cut-glass-cake/7414887496.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-2117:25
",821,https://losangeles.craigslist.org/sgv/bfd/d/la-puente-countertop-refrigerated-cake/7423743061.html,,,,new,,,,,,,,,,Countertop Refrigerated Cake,Commercial  Display Case,COOLER  Bakery display
"
2021-11-2323:42
",12,https://losangeles.craigslist.org/sfv/hsh/d/los-angeles-cake-plates-for-sale/7412074858.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0416:43
",15,https://losangeles.craigslist.org/sfv/clt/d/canoga-park-vintage-mid-century-kromex/7416596086.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2114:30
",5,https://losangeles.craigslist.org/wst/for/d/los-angeles-85th-birthday-cake-topper/7423683894.html,,,,,,,,,,,,,,0,0,0
"
2021-11-2913:19
",65,https://losangeles.craigslist.org/sfv/for/d/woodland-hills-items-musical-happy/7414249631.html,,,,excellent,,,,,,,,,,MIKASA & OTHERS,HAPPY BIRTHDAY,0
"
2021-11-2913:27
",14,https://losangeles.craigslist.org/sfv/art/d/tarzana-styrofoam-cake-disks-rounds/7414253605.html,,,,,,,,,,,,,,0,0,0
