DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,size / dimensions,model name / number
"
2021-12-1609:20
",1,https://losangeles.craigslist.org/lgb/ctd/d/harbor-city-2018-mercedes-benz-s63-amg/7421532714.html,2018 mercedes benz s63 amg coupe,2018,15000,like new,8 cylinders,rwd,gas,black,mid-size,clean,automatic,coupe,WDDXJ8JB1JA033343,0,0,0
"
2021-11-2816:40
",1,https://bakersfield.craigslist.org/bfd/d/carports-garages-barns-shops-loafing/7413864483.html,,,,new,,,,,,,,,,"CARPORTS, GARAGES, SHOPS ETC.",CALIFORNIA MADE,0
"
2021-11-2615:04
",1,https://losangeles.craigslist.org/lgb/ctd/d/harbor-city-2015-mercedes-benz-g63-amg/7413027821.html,delivery available,deli,68000,like new,8 cylinders,4wd,gas,custom,full-size,clean,automatic,SUV,WDCYC7DF4FX228661,0,0,0
"
2021-12-1512:28
",1,https://orangecounty.craigslist.org/for/d/tustin-pyro/7421215201.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1413:38
",70,https://orangecounty.craigslist.org/clo/d/santa-ana-los-vans-old-skool-mens-size/7420816665.html,,,,new,,,,,,,,,,0,0,0
"
2021-11-1810:05
",80,https://orangecounty.craigslist.org/tag/d/huntington-beach-monster-high-skelita/7409666715.html,,,,new,,,,,,,,,,0,0,0
"
2021-11-1816:31
",70,https://orangecounty.craigslist.org/for/d/garden-grove-roof-repair-and-more/7409849702.html,,,,,,,,,,,,,,0,0,0
"
2021-11-2818:10
",1,https://palmsprings.craigslist.org/bfd/d/best-carports-sheds-shops-garages-in-so/7413891015.html,,,,new,,,,,,,,,,Terrapin Steel Buildings,0,0
"
2021-12-0712:15
",5945,https://ventura.craigslist.org/ctd/d/pacoima-2007-chevrolet-hhr-lt-drives/7417771518.html,2008 chevrolet hhr lt,2008,144000,excellent,4 cylinders,fwd,gas,white,mid-size,clean,automatic,hatchback,3GNDA33PX7S612483,0,0,0
"
2021-12-0721:17
",300,https://santabarbara.craigslist.org/tls/d/santa-barbara-vintage-radial-arm-saw/7417960479.html,,,,excellent,,,,,,,,,,Sears Roebuck & Co.,standard shop dimensions,Craftsman
"
2021-11-2011:13
",10,https://santabarbara.craigslist.org/hsh/d/santa-barbara-beverage-dispensers/7410595408.html,,,,like new,,,,,,,,,,Creative Ware,3.5. Gallon (13.2 Liter),none
"
2021-12-2216:01
",15995,https://bakersfield.craigslist.org/ctd/d/santa-cruz-2013-audi-a4-20t-quattro/7424114097.html,2013 AUDI A4,2013,117000,,,,other,black,compact,clean,automatic,sedan,WAUFFAFL7DN011857,0,0,0
"
2021-12-1716:05
",20495,https://bakersfield.craigslist.org/ctd/d/santa-cruz-2013-audi-a5-20t-quattro/7422144079.html,2013 AUDI A5,2013,76600,,,,other,black,sub-compact,clean,automatic,coupe,WAUWFAFR5DA038003,0,0,0
"
2021-12-1712:05
",14995,https://bakersfield.craigslist.org/ctd/d/santa-cruz-2012-bmw-series-328i-4dr/7422042399.html,2012 BMW 328I,2012,84700,,,,gas,black,compact,clean,automatic,sedan,WBA3C1C50CF431860,0,0,0
"
2021-12-1516:05
",12995,https://bakersfield.craigslist.org/ctd/d/santa-cruz-2013-ford-fusion-titanium/7421304960.html,2013 FORD FUSION,2013,109400,,,fwd,gas,,,clean,automatic,sedan,3FA6P0K94DR306969,0,0,0
