DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions
"
2021-12-2313:58
",30,https://losangeles.craigslist.org/wst/clt/d/santa-monica-vintage-warner-octagonal/7424445463.html,,,,excellent,,,,,,,,,,Ask an Archeologist,Newsreel Canister,"11"" x 3"""
"
2021-12-1706:23
",60,https://losangeles.craigslist.org/lac/hsh/d/los-angeles-bissell-bagless-canister/7421867071.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-2313:09
",325,https://losangeles.craigslist.org/wst/app/d/culver-city-riccar-canister-vacuum/7424427839.html,,,,excellent,,,,,,,,,,Riccar,RC-1700P,"21.3"" x 11.4"" x 9.8"""
"
2021-12-0310:12
",40,https://losangeles.craigslist.org/wst/hsh/d/harbor-city-kitchen-canister-set/7415963283.html,,,,like new,,,,,,,,,,0,0,0
"
2021-12-1811:32
",90,https://losangeles.craigslist.org/wst/for/d/marina-del-rey-box-boost-oxygen-of-5-ml/7422437180.html,,,,new,,,,,,,,,,Boost oxygen,0,0
"
2021-12-1909:41
",95,https://losangeles.craigslist.org/lac/app/d/los-angeles-bissell-lift-off-revolution/7422744115.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1210:54
",250,https://losangeles.craigslist.org/lac/for/d/tujunga-fluval-fx6-canister-filter/7419874860.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-1715:18
",10,https://losangeles.craigslist.org/lac/pho/d/los-angeles-16mm-film-canister/7422127003.html,,,,good,,,,,,,,,,film canister,0,0
"
2021-11-2421:28
",5,https://losangeles.craigslist.org/wst/hsh/d/el-segundo-stainless-steel-food-storage/7412452600.html,,,,good,,,,,,,,,,0,0,0
"
2021-11-2303:58
",20,https://losangeles.craigslist.org/sfv/for/d/glendale-antibacterial-wipes-100-pcs/7411668427.html,delivery available,deli,,new,,,,,,,,,,China,WipeIS,17.3×13×7.9
"
2021-12-1601:44
",65,https://losangeles.craigslist.org/lac/atq/d/los-angeles-1960s-vintage-octagonal/7421403990.html,,,,,,,,,,,,,,Buena Vista,Pinocchio,17x16
"
2021-12-1500:29
",275,https://losangeles.craigslist.org/lac/for/d/west-covina-new-fluval-fx6-canister/7420976227.html,,,,new,,,,,,,,,,Fluval,FX6,15.1 x 15.6 x 20.7
"
2021-12-2222:38
",100,https://losangeles.craigslist.org/lac/clt/d/los-angeles-vintage-rexair-rainbow/7424195066.html,delivery available,deli,,excellent,,,,,,,,,,0,0,0
"
2021-11-2915:31
",40,https://losangeles.craigslist.org/lac/for/d/pasadena-mariland-magniflow-360/7414311553.html,,,,good,,,,,,,,,,0,0,0
"
2021-11-3013:16
",10,https://losangeles.craigslist.org/sfv/hsh/d/van-nuys-assorted-glass-decanter/7414714709.html,,,,excellent,,,,,,,,,,PYREX,0,0
"
2021-12-2211:32
",35,https://losangeles.craigslist.org/wst/for/d/san-pedro-espana-bocca-cow-piece/7424005960.html,,,,new,,,,,,,,,,Espana Bocca,0,0
"
2021-11-2310:24
",0,https://losangeles.craigslist.org/sfv/pts/d/sun-valley-03-freelander-charcoal/7411831236.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0309:49
",90,https://losangeles.craigslist.org/lac/for/d/universal-city-kitchen-canister/7415948815.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-0119:36
",45,https://losangeles.craigslist.org/lac/hsh/d/los-angeles-vintage-copper-kitchen/7415307589.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0607:19
",19,https://losangeles.craigslist.org/sfv/hsh/d/woodland-hills-canister-kitchen-ceramic/7417137682.html,,,,like new,,,,,,,,,,unknown,old fashion,0
"
2021-12-1712:53
",40,https://losangeles.craigslist.org/lac/mat/d/los-angeles-pair-ceramic-canister/7422064718.html,delivery available,deli,,like new,,,,,,,,,,0,0,0
"
2021-12-1613:42
",40,https://losangeles.craigslist.org/lac/clt/d/los-angeles-rae-dunn-jingle-bells/7421665893.html,delivery available,deli,,,,,,,,,,,,Rae Dunn,0,0
"
2021-12-2112:30
",75,https://losangeles.craigslist.org/lgb/hsh/d/fountain-valley-vintage-electrolux/7423631372.html,,,,good,,,,,,,,,,0,0,0
"
2021-11-2112:53
",60,https://losangeles.craigslist.org/sfv/atq/d/sun-valley-vintage-rubbermaid-canister/7411031292.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1811:34
",200,https://losangeles.craigslist.org/sgv/app/d/arcadia-royal-canister-vacuum-cleaner/7422438284.html,,,,excellent,,,,,,,,,,Royal Lexon S20 Canister Vacuum,S20,See photos
"
2021-12-1400:11
",20,https://losangeles.craigslist.org/lgb/for/d/paramount-vacuum-bissell-zing-canister/7420538839.html,,,,excellent,,,,,,,,,,Bissell,2154A,0
"
2021-12-2013:30
",10,https://losangeles.craigslist.org/lgb/pts/d/long-beach-spectre-canister-air-filter/7423246037.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-2013:00
",75,https://losangeles.craigslist.org/lac/app/d/los-angeles-fuller-brush-home-maid/7423231646.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0615:37
",500,https://losangeles.craigslist.org/sfv/tls/d/montrose-delta-hp-1200-cfm-dust/7417410837.html,,,,excellent,,,,,,,,,,Delta,50-760,0
"
2021-12-2010:47
",30,https://losangeles.craigslist.org/lac/atq/d/los-angeles-1940s-50s-art-deco-tin/7423163921.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0606:45
",65,https://losangeles.craigslist.org/sfv/atq/d/north-hollywood-vintage-hoosier-tilt/7417121104.html,,,,excellent,,,,,,,,,,Anchor Hocking,0,0
"
2021-11-2612:34
",4,https://losangeles.craigslist.org/wst/hsh/d/el-segundo-54-oz-glass-stackable-square/7412965180.html,,,,excellent,,,,,,,,,,0,0,"4-1/4"" sq. x 7-3/8"" h"
"
2021-11-2612:28
",3,https://losangeles.craigslist.org/wst/hsh/d/hawthorne-32-oz-glass-stackable-square/7412962283.html,,,,like new,,,,,,,,,,0,0,"4-1/4"" sq. x 4-7/8"" h"
"
2021-12-1615:03
",80,https://losangeles.craigslist.org/lgb/for/d/lakewood-piece-canister-set-cobalt-blue/7421700055.html,,,,like new,,,,,,,,,,A.K. DAS & COMPANY,Glazed Ceramic Stoneware,0
"
2021-12-0611:27
",25,https://losangeles.craigslist.org/lac/clt/d/los-angeles-vintage-iec-electra-compact/7417285095.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1819:30
",80,https://losangeles.craigslist.org/sfv/hsh/d/valencia-fish-aquarium-canister-filter/7422596173.html,cryptocurrency ok,cryp,,good,,,,,,,,,,0,0,0
"
2021-12-1809:59
",25,https://losangeles.craigslist.org/sfv/for/d/van-nuys-new-ceramic-canister-set/7422388536.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1108:36
",90,https://losangeles.craigslist.org/sgv/pts/d/los-angeles-chevy-oil-filter-canister/7419422507.html,,,,fair,,,,,,,,,,0,0,0
"
2021-12-1716:02
",20,https://losangeles.craigslist.org/sfv/for/d/north-hollywood-piece-ceramic-canister/7422142836.html,,,,like new,,,,,,,,,,0,0,0
"
2021-12-1710:40
",300,https://losangeles.craigslist.org/sgv/for/d/fluval-fx6-canister-filter/7421998524.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1614:37
",45,https://losangeles.craigslist.org/sfv/app/d/woodland-hills-eureka-upright-hepa-pet/7421689542.html,,,,excellent,,,,,,,,,,Eureka,Hepa Pet,0
"
2021-11-1915:23
",35,https://losangeles.craigslist.org/sfv/clt/d/sherman-oaks-metal-film-canister/7410274596.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1205:32
",25,https://losangeles.craigslist.org/sfv/app/d/northridge-shark-navigator-professional/7419749431.html,,,,excellent,,,,,,,,,,Shark,Navigator professional,0
"
2021-12-1205:33
",15,https://losangeles.craigslist.org/sfv/app/d/northridge-bissell-upright-vacuum/7419749547.html,,,,good,,,,,,,,,,Bissell,Cleanview,0
"
2021-12-2314:13
",20,https://losangeles.craigslist.org/sfv/app/d/northridge-soda-stream/7424450830.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-2009:01
",20,https://losangeles.craigslist.org/lgb/spo/d/la-palma-coleman-leisure-line-camping/7423105981.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2310:09
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2014-isuzu-npr-dsl-reg/7424351686.html,2014 Isuzu NPR DSL REG AT ECO-MAX,2014,93990,,4 cylinders,rwd,diesel,white,,clean,automatic,truck,JALB4W172E7400683,0,0,0
"
2021-12-1210:51
",699,https://losangeles.craigslist.org/lac/for/d/tujunga-80-gallon-aquarium-with-stand/7419873465.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1415:46
",0,https://losangeles.craigslist.org/lgb/for/d/los-angeles-nilfisk-cd-3707-industrial/7420871086.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1701:40
",275,https://losangeles.craigslist.org/sgv/for/d/pasadena-vintage-rko-movie-studio-film/7421820818.html,,,,good,,,,,,,,,,RKO Studios,0,18 1/4 x 18 by 39 1/4
"
2021-12-2221:49
",5,https://losangeles.craigslist.org/sfv/for/d/dearing-polar-blue-parrot-cichlid-fish/7424189357.html,,,,,,,,,,,,,,0,0,0
