DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions,number available,venue
"
2021-12-2310:05
",0,https://losangeles.craigslist.org/sfv/atq/d/valencia-vintage-glass-serving-dish/7424349472.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-12-1723:05
",20,https://losangeles.craigslist.org/sfv/hsh/d/van-nuys-glass-platter-and-bowls-green/7422231968.html,,,,new,,,,,,,,,,Unknown,Unknown,"12"" diameter, 6"" diameter (2)",0,0
"
2021-12-0413:33
",5,https://losangeles.craigslist.org/sfv/hsh/d/encino-wine-vino-serving-dish/7416523557.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-12-1611:31
",65,https://losangeles.craigslist.org/lgb/hsh/d/orange-antique-elegant-crystal-plate/7421602373.html,,,,excellent,,,,,,,,,,0,0,"10"" wide / 7.5"" tall",0,0
"
2021-12-1914:45
",65,https://losangeles.craigslist.org/lgb/clt/d/orange-elegant-antique-crystal-pedestal/7422866488.html,,,,excellent,,,,,,,,,,0,0,"10"" wide / 7.5"" tall",0,0
"
2021-12-1906:18
",10,https://losangeles.craigslist.org/wst/hsh/d/el-segundo-holiday-mikasa-glass-serving/7422669294.html,,,,like new,,,,,,,,,,Mikasa,SA 838/313,15 x 15,0,0
"
2021-12-2017:50
",5,https://losangeles.craigslist.org/ant/for/d/valencia-white-plates-square-and-curved/7423339259.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-12-1716:55
",10,https://losangeles.craigslist.org/sgv/hsh/d/west-covina-glass-platter/7422159976.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-12-1707:31
",30,https://losangeles.craigslist.org/wst/hsh/d/olive-boats-and-dishes-or-serving-trays/7421896997.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-12-1614:05
",25,https://losangeles.craigslist.org/wst/hsh/d/platter-serving-tray-with-olive-hand/7421675852.html,,,,new,,,,,,,,,,Cheryl Thompson - New In Box,0,"18"" x 9""",0,0
"
2021-11-1916:21
",20,https://losangeles.craigslist.org/sfv/clt/d/sherman-oaks-nabisco-tin/7410297057.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-1117:14
",100,https://losangeles.craigslist.org/sfv/atq/d/studio-city-cracker-barrel-tea-bin/7419655620.html,,,,fair,,,,,,,,,,0,0,0,0,0
"
2021-11-2910:36
",12,https://losangeles.craigslist.org/sfv/hsh/d/castaic-cute-plush-bouncy-spring-11/7414155344.html,,,,excellent,,,,,,,,,,0,0,"9"" W x 8"" D x 11"" H",0,0
"
2021-12-0922:13
",5,https://losangeles.craigslist.org/sfv/hsh/d/castaic-night-before-christmas-set-by/7418856799.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-12-0922:02
",28,https://losangeles.craigslist.org/sfv/hsh/d/castaic-santa-popping-in-out-of-chimney/7418855429.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-12-1818:37
",99,https://losangeles.craigslist.org/sfv/atq/d/castaic-antique-knowles-taylor-knowles/7422586253.html,,,,good,,,,,,,,,,K.T. & K.,0,0,0,0
"
2021-12-0510:46
",85,https://losangeles.craigslist.org/lac/atq/d/los-angeles-glass-domed-cheese-cracker/7416826598.html,delivery available,deli,,new,,,,,,,,,,United Silver and Cutlery Co.,0,0,0,0
"
2021-11-2818:23
",5,https://losangeles.craigslist.org/sfv/hsh/d/van-nuys-13-square-acrylic-cheese-and/7413894488.html,,,,excellent,,,,,,,,,,0,0,"13"" SQUARE",0,0
"
2021-11-2717:14
",12,https://losangeles.craigslist.org/sfv/for/d/castaic-avon-festive-holiday-lighted/7413488272.html,,,,new,,,,,,,,,,Avon,0,7” W x 2 ¼” D x 9 ½” H,0,0
"
2021-11-2919:41
",16,https://losangeles.craigslist.org/sfv/hsh/d/castaic-do-you-want-snowman-collection/7414393325.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-12-1322:03
",49,https://losangeles.craigslist.org/sfv/hsh/d/castaic-vintage-light-up-ceramic-yule/7420527368.html,,,,like new,,,,,,,,,,0,0,17”L x 6”W x 7.25”H,0,0
"
2021-12-2010:27
",24,https://losangeles.craigslist.org/sfv/hsh/d/castaic-collection-of-vintage-ornaments/7423153226.html,,,,like new,,,,,,,,,,0,0,0,0,0
"
2021-12-1008:57
",100,https://losangeles.craigslist.org/lac/jwl/d/los-angeles-wholesale-lot-of-200-wish/7418999125.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-12-2014:18
",20,https://losangeles.craigslist.org/sgv/for/d/rosemead-christmas-collectibles-angels/7423267253.html,,,,excellent,,,,,,,,,,various,various,various,0,0
"
2021-12-1913:24
",75,https://losangeles.craigslist.org/wst/atq/d/santa-monica-cracker-barrel-green-glass/7422837340.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-1511:26
",150,https://losangeles.craigslist.org/wst/tid/d/los-angeles-dolby-theatre-tickets-great/7421184418.html,,,,,,,,,,,,,,0,0,0,50,Dolby Theatre
