DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,size / dimensions,model name / number,media type
"
2021-11-3010:44
",45,https://losangeles.craigslist.org/lac/hsh/d/los-angeles-in-cooking-center-toaster/7414631079.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1702:00
",150,https://losangeles.craigslist.org/sgv/clt/d/pasadena-indiana-jones-and-the-temple/7421822059.html,,,,like new,,,,,,,,,,PARAMOUNT PICTURES,27 1/4 x 40 1/4,0,0
"
2021-12-1221:29
",7,https://losangeles.craigslist.org/lac/bks/d/los-angeles-rare-men-omnibuses-tpbs/7420076293.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-2215:09
",24800,https://inlandempire.craigslist.org/bfd/d/portland-80-kw-merlin-mitsubishi-diesel/7424096885.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2211:34
",450,https://losangeles.craigslist.org/lac/msg/d/los-angeles-orange-ppc410-4x10-guitar/7424007095.html,,,,good,,,,,,,,,,Orange,0,PPC410,0
"
2021-12-0216:10
",3,https://losangeles.craigslist.org/sfv/tag/d/calabasas-rare-out-of-print-boardgames/7415694206.html,,,,new,,,,,,,,,,Avalon Hill (mostly) and others,0,0,0
"
2021-12-0916:06
",330,https://losangeles.craigslist.org/sfv/ele/d/montrose-nintendo-switch-pro-controller/7418770116.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1210:46
",80,https://losangeles.craigslist.org/sgv/msg/d/duarte-earthquaker-devices-acapulco/7419871266.html,,,,good,,,,,,,,,,EarthQuaker Devices,0,Acapulco Gold,0
"
2021-12-1215:22
",1650,https://losangeles.craigslist.org/sgv/msg/d/duarte-orange-or50-50-watt-tube-head/7419985739.html,,,,excellent,,,,,,,,,,Orange,0,OR 50,0
"
2021-12-1811:29
",6,https://losangeles.craigslist.org/sfv/vgm/d/canyon-country-vintage-video-games-and/7422435648.html,,,,good,,,,,,,,,,Nes Nintendo Sega Xbox,5 “,8,0
"
2021-12-1713:57
",300,https://losangeles.craigslist.org/sfv/emd/d/canoga-park-laser-disc-player-50/7422093814.html,,,,good,,,,,,,,,,0,0,0,other video
"
2021-12-1108:20
",10,https://losangeles.craigslist.org/sfv/vgm/d/newhall-ps3-games/7419414137.html,,,,excellent,,,,,,,,,,Sony,0,0,0
"
2021-12-1711:31
",20,https://losangeles.craigslist.org/lac/ele/d/los-angeles-ipod-amazfit-sansa/7422025252.html,,,,like new,,,,,,,,,,0,0,0,0
"
2021-12-1622:08
",3,https://losangeles.craigslist.org/sgv/emd/d/alhambra-lots-of-dvd-boxsets/7421804921.html,,,,,,,,,,,,,,0,0,0,dvd
"
2021-12-1610:50
",0,https://losangeles.craigslist.org/sgv/tag/d/monterey-park-collectors-toys-for-sale/7421580977.html,,,,new,,,,,,,,,,"Takara, Hasbro, Bandai",0,0,0
"
2021-11-2309:06
",1699,https://palmsprings.craigslist.org/sgd/d/new-sided-26-screen-cocktail-arcade/7411787503.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-11-2319:58
",25,https://losangeles.craigslist.org/sfv/tag/d/winnetka-monster-jam-truck-dooms-day/7412047421.html,,,,new,,,,,,,,,,Hotwheels,1:24,0,0
"
2021-12-1609:56
",25,https://orangecounty.craigslist.org/clt/d/fullerton-rolling-stones-doom-and-gloom/7421551956.html,,,,like new,,,,,,,,,,0,0,0,0
"
2021-12-2213:21
",135,https://orangecounty.craigslist.org/tag/d/mission-viejo-legendary-marvel-and-more/7424054683.html,,,,excellent,,,,,,,,,,0,0,0,0
"
2021-12-0111:11
",20,https://orangecounty.craigslist.org/clt/d/buena-park-vintage-spiderman-toys/7415103693.html,,,,,,,,,,,,,,toybiz,0,0,0
"
2021-11-2417:38
",1,https://orangecounty.craigslist.org/tag/d/orange-marvel-funko-pop/7412412997.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2016:01
",1000,https://orangecounty.craigslist.org/sys/d/buena-park-gaming-pc-for-sale-intel/7423305713.html,delivery available,deli,,like new,,,,,,,,,,Cyberpowerpc,0,GXiVR8060A7,0
"
2021-12-1411:02
",560,https://orangecounty.craigslist.org/vgm/d/trabuco-canyon-ps4-xbox-original-360/7420738384.html,,,,like new,,,,,,,,,,0,0,0,0
"
2021-12-2013:22
",30,https://orangecounty.craigslist.org/emd/d/trabuco-canyon-dvds-indiana-jones-film/7423242079.html,,,,like new,,,,,,,,,,0,0,0,dvd
"
2021-12-2011:41
",2,https://orangecounty.craigslist.org/emd/d/huntington-beach-45-rpm-vinyl-records/7423192943.html,,,,good,,,,,,,,,,0,0,0,vinyl
"
2021-12-1911:52
",1,https://orangecounty.craigslist.org/vgm/d/orange-playstation-games/7422799887.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1512:28
",1,https://orangecounty.craigslist.org/for/d/tustin-pyro/7421215201.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-0416:11
",200,https://orangecounty.craigslist.org/vgm/d/irvine-xbox-one-games/7416585873.html,,,,excellent,,,,,,,,,,Microsoft,0,XBOX ONE,0
"
2021-12-1521:40
",0,https://orangecounty.craigslist.org/clt/d/garden-grove-new-disney-attractions/7421386028.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-1520:00
",0,https://orangecounty.craigslist.org/clt/d/garden-grove-new-and-used-disney/7421368935.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-2916:32
",1,https://orangecounty.craigslist.org/vgm/d/orange-xbox-games/7414335093.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-1509:42
",1,https://orangecounty.craigslist.org/vgm/d/orange-sega-32x-games/7408299502.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-0721:38
",0,https://orangecounty.craigslist.org/clt/d/new-vintage-original-movie-posters-10/7417963688.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-0714:10
",650,https://orangecounty.craigslist.org/vgm/d/santa-ana-full-psvr-ps4-pro-setup-18/7417829255.html,,,,excellent,,,,,,,,,,Sony,0,Playstation 4 Pro,0
"
2021-11-0616:00
",60,https://orangecounty.craigslist.org/for/d/trabuco-canyon-disney-dvd-set/7404531232.html,,,,like new,,,,,,,,,,0,0,0,0
"
2021-12-0408:41
",5,https://orangecounty.craigslist.org/vgm/d/mission-viejo-skylanders-superchargers/7416365360.html,,,,new,,,,,,,,,,Activision,0,Skylanders,0
"
2021-11-2618:37
",0,https://orangecounty.craigslist.org/clt/d/garden-grove-17-vinyl-lp-record-albums/7413091103.html,,,,excellent,,,,,,,,,,0,0,0,0
"
2021-11-2617:49
",20,https://orangecounty.craigslist.org/clt/d/orange-venomized-funko-pop-pez/7413079613.html,,,,new,,,,,,,,,,Pop Pez / Funko,0,Marvel Comics,0
"
2021-11-2018:20
",0,https://orangecounty.craigslist.org/clt/d/original-vintage-movie-posters-1953-to/7410765556.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-1221:33
",50,https://orangecounty.craigslist.org/pts/d/mission-viejo-huge-camping-tent-18-10/7407294142.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1608:51
",5,https://inlandempire.craigslist.org/vgm/d/moreno-valley-doom-for-ps4/7421516406.html,,,,like new,,,,,,,,,,0,0,0,0
"
2021-12-1116:17
",210,https://inlandempire.craigslist.org/msg/d/corona-lone-wolf-audio-burning-spirit/7419638981.html,,,,like new,,,,,,,,,,Lone Wolf Audio,Guitar Effects Pedal,Burning Spirit,0
"
2021-12-1116:20
",250,https://inlandempire.craigslist.org/msg/d/corona-seeker-electric-effects-truth/7419639948.html,,,,like new,,,,,,,,,,Seeker Electric Effects,Guitar Effects Pedal,Truth Fuzz,0
"
2021-12-0412:25
",160,https://inlandempire.craigslist.org/msg/d/corona-homebrew-electronics-hbe/7416490500.html,,,,excellent,,,,,,,,,,HomeBrew Electronics,Guitar Effects Pedal,Germania 44,0
"
2021-12-0412:24
",180,https://inlandempire.craigslist.org/msg/d/corona-the-zero-fret-serpent-octave-up/7416489962.html,,,,like new,,,,,,,,,,The Zero Fret,Guitar Effects Pedal,SERPENT,0
"
2021-12-0214:20
",10000,https://inlandempire.craigslist.org/wan/d/riverside-we-buy-comics/7415648947.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-2812:21
",180,https://inlandempire.craigslist.org/msg/d/corona-spaceman-effects-apollo-vii/7413761175.html,,,,like new,,,,,,,,,,Spaceman Effects,Guitar Effects Pedal,Apollo VII Overdrive,0
"
2021-11-2418:14
",150,https://inlandempire.craigslist.org/msg/d/corona-lone-wolf-audio-insider-outsider/7412420882.html,,,,like new,,,,,,,,,,Lone Wolf Audio,Guitar Effects Pedal,INSIDER / OUTSIDER,0
"
2021-11-2015:06
",220,https://inlandempire.craigslist.org/msg/d/corona-mad-professor-double-moon/7410704470.html,,,,like new,,,,,,,,,,Mad Professor,Guitar Effects Pedal,Double Moon,0
"
2021-11-2014:33
",110,https://inlandempire.craigslist.org/msg/d/corona-idiotbox-effects-dark-waves-echo/7410691374.html,,,,like new,,,,,,,,,,Idiotbox Effects,Guitar Effects Pedal,Dark Waves,0
"
2021-11-2014:26
",220,https://inlandempire.craigslist.org/msg/d/corona-death-by-audio-apocalypse-fuzz/7410688236.html,,,,like new,,,,,,,,,,Death By Audio,Guitar Effects Pedal,APOCALYPSE,0
"
2021-11-1208:19
",350,https://inlandempire.craigslist.org/sys/d/yucaipa-computer/7406963686.html,,,,,,,,,,,,,,emachines,0,0,0
"
2021-11-1020:58
",1200,https://inlandempire.craigslist.org/for/d/yucaipa-german-shepherd-puppies/7406375550.html,,,,excellent,,,,,,,,,,German Shepherd,85(F) 100(M),Puppy Puppies,0
"
2021-12-2208:31
",1,https://ventura.craigslist.org/tag/d/port-hueneme-marvel-legends/7423914357.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-11-1722:07
",0,https://palmsprings.craigslist.org/wan/d/wanted-old-arcade-video-games-and/7409483274.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1018:57
",2100,https://ventura.craigslist.org/sys/d/simi-valley-4k-gaming-masterpiece-intel/7419267031.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-0214:14
",2,https://ventura.craigslist.org/emd/d/newbury-park-dvds-movies/7415646312.html,,,,,,,,,,,,,,0,0,0,dvd
"
2021-12-2220:06
",3000,https://santabarbara.craigslist.org/sop/d/santa-barbara-nvidia-geforce-rtx-3090/7424174609.html,,,,like new,,,,,,,,,,Nvidia,0,Geforce RTX 3090,0
"
2021-11-0412:37
",400,https://santabarbara.craigslist.org/vgm/d/santa-barbara-xbox-1s-all-digital/7403537595.html,delivery available,deli,,good,,,,,,,,,,microsoft,3.1 in × 13.1 in × 10.8 in,N/A,0
"
2021-12-2307:57
",1200,https://palmsprings.craigslist.org/clt/d/indian-wells-disney-mickey-pooh-star/7424288155.html,,,,like new,,,,,,,,,,Disney,0,0,0
"
2021-10-3110:29
",250,https://palmsprings.craigslist.org/clt/d/palm-springs-snow-white/7401682731.html,,,,like new,,,,,,,,,,0,0,0,0
"
2021-12-1415:12
",2300,https://bakersfield.craigslist.org/sys/d/bakersfield-high-end-gaming-pc/7420858163.html,,,,like new,,,,,,,,,,0,0,0,0
