DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,media type,make / manufacturer,model name / number,size / dimensions,bicycle frame material,bicycle type,frame size,wheel size,rv type,mobile OS
"
2021-12-1209:41
",10,https://losangeles.craigslist.org/sgv/emd/d/glendora-family-guy-pack/7419840929.html,,,,new,,,,,,,,,,dvd,0,0,0,0,0,0,0,0,0
"
2021-12-1011:58
",25,https://losangeles.craigslist.org/sfv/vgm/d/encino-15-in-family-pack-for-wii-or-wii/7419102307.html,,,,like new,,,,,,,,,,0,intec & Nintendo,0,0,0,0,0,0,0,0
"
2021-12-2121:39
",25,https://losangeles.craigslist.org/wst/tag/d/torrance-hatchimals-colleggtibles-pack/7423793108.html,,,,new,,,,,,,,,,0,Spin Master,0,0,0,0,0,0,0,0
"
2021-12-1909:57
",15,https://losangeles.craigslist.org/sfv/tag/d/burbank-harry-potter-500-piece-puzzle/7422751138.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-2016:10
",20,https://losangeles.craigslist.org/lgb/for/d/east-irvine-gold-bars-cash-money-movie/7423309109.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1307:39
",0,https://losangeles.craigslist.org/lac/wad/d/los-angeles-cash-for-diabetic-test/7420180372.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0722:38
",350,https://losangeles.craigslist.org/lgb/clo/d/trabuco-canyon-chanel-high-quality/7417971037.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0720:59
",250,https://losangeles.craigslist.org/lgb/clo/d/trabuco-canyon-louis-vuitton-genuine/7417957595.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3014:32
",3,https://losangeles.craigslist.org/sfv/hab/d/reseda-hand-sanitizer-high-quality/7414751104.html,,,,new,,,,,,,,,,0,BallaPierre,Hand Sanitizer,16.9 Oz Pump Top,0,0,0,0,0,0
"
2021-12-1121:25
",250,https://losangeles.craigslist.org/sgv/spo/d/duarte-camping-equipment-everything-you/7419704209.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
