DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions,number available,venue,media type,bicycle frame material,bicycle type,brake type,electric assist,frame size,handlebar type,suspension,wheel size
"
2021-11-2413:08
",980,https://orangecounty.craigslist.org/art/d/menifee-table-for-two-venazza-italy-by/7412324190.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0210:27
",875,https://losangeles.craigslist.org/wst/art/d/bakersfield-evening-in-vegas-canvas-by/7415530640.html,,,,new,,,,,,,,,,Rober Finale,Evening In Vegas,24 x 36,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0323:03
",50,https://losangeles.craigslist.org/sgv/clt/d/monterey-park-thanos-infinity-finale/7416241562.html,,,,like new,,,,,,,,,,Marvel Comics,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1913:16
",20,https://losangeles.craigslist.org/wst/bab/d/culver-city-car-seat-booster-cosco/7422834244.html,,,,good,,,,,,,,,,Cosco,Finale DX,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1720:17
",0,https://losangeles.craigslist.org/wst/bks/d/los-angeles-finale-30-manuals/7422209311.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2315:19
",2500,https://losangeles.craigslist.org/sfv/clt/d/canoga-park-dallas-tv-series-screen/7424472373.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2110:16
",375,https://losangeles.craigslist.org/sfv/tix/d/van-nuys-tickets-san-francisco-49ers-vs/7423564675.html,,,,,,,,,,,,,,0,0,0,6,SoFi,0,0,0,0,0,0,0,0,0
"
2021-12-2217:43
",420,https://losangeles.craigslist.org/wst/clt/d/santa-monica-bob-clampett-bugs-bunny/7424144237.html,,,,like new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1209:26
",59,https://losangeles.craigslist.org/sgv/fuo/d/pomona-wall-shelf-side-table-59-ea-two/7419834026.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1520:02
",90,https://losangeles.craigslist.org/sgv/clt/d/glendora-gone-the-wind-knowles-bradford/7421369580.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2609:32
",433,https://losangeles.craigslist.org/wst/msg/d/los-angeles-casio-privia-px-150/7412869795.html,,,,excellent,,,,,,,,,,Casio,Privia / PX-150,52 x 12 x 6,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2118:47
",240,https://losangeles.craigslist.org/ant/hsh/d/palmdale-full-china-set/7423762975.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1920:35
",35,https://losangeles.craigslist.org/sfv/clo/d/burbank-new-balance-m577lev-made-in/7422953952.html,,,,,,,,,,,,,,New Balance,M577 LEV,10.5,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1716:44
",0,https://losangeles.craigslist.org/sfv/sop/d/bakersfield-various-printers-its-toners/7422156786.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2416:32
",135,https://orangecounty.craigslist.org/clt/d/dana-point-price-reduced-first-edition/7412395771.html,,,,like new,,,,,,,,,,Edwin M. Knowles,GWTW Commemorative Collection,8 ¾” in diameter,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1512:28
",1,https://orangecounty.craigslist.org/for/d/tustin-pyro/7421215201.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-10-2021:54
",55,https://orangecounty.craigslist.org/emd/d/dana-point-william-shatner-live-other/7397023698.html,,,,excellent,,,,,,,,,,0,0,0,0,0,vinyl,0,0,0,0,0,0,0,0
"
2021-11-2413:06
",980,https://inlandempire.craigslist.org/art/d/menifee-table-for-two-vernazza-italy-by/7412323195.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1423:03
",125,https://inlandempire.craigslist.org/clt/d/san-bernardino-16-pc-wizard-of-oz/7420970000.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0823:11
",32,https://inlandempire.craigslist.org/tag/d/hesperia-new-in-box-monster-jam-grim/7418422630.html,,,,new,,,,,,,,,,Mattel,Grim Takedown Playset,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-0319:53
",85,https://inlandempire.craigslist.org/ele/d/jurupa-valley-nikon-coolpix-l820-for/7403251487.html,,,,like new,,,,,,,,,,Nikon,Coolpix L820,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2610:34
",650,https://ventura.craigslist.org/bik/d/newbury-park-custom-bf22-bmx-bike-black/7412904219.html,,,,new,,,,,,,,,,Fitbikeco,Bf22,0,0,0,0,steel,bmx,caliper,none,22in,bmx,none (rigid),24 in
"
2021-11-1814:08
",2,https://santabarbara.craigslist.org/emd/d/santa-barbara-1300-dvds-including-tv/7409792811.html,,,,,,,,,,,,,,0,0,0,0,0,dvd,0,0,0,0,0,0,0,0
"
2021-12-0208:09
",68,https://bakersfield.craigslist.org/for/d/bakersfield-star-trek-collectibles/7415450189.html,,,,like new,,,,,,,,,,Hamilton Collection,0,0,0,0,0,0,0,0,0,0,0,0,0
