DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions,length overall (LOA),propulsion type,year manufactured
"
2021-12-2312:54
",295,https://losangeles.craigslist.org/sfv/tag/d/beverly-hills-io-hawk-hoverboard-brand/7424422207.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2222:18
",70,https://losangeles.craigslist.org/sfv/wtd/d/michelin-ltx-good-used-tires-van-nuys70/7424192903.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2222:16
",80,https://losangeles.craigslist.org/sfv/wtd/d/crosswind-all-terrain-good-used-tires/7424192704.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2222:13
",60,https://losangeles.craigslist.org/sfv/wtd/d/goodyear-assurance-good-used-tires-van/7424192426.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2221:50
",160,https://losangeles.craigslist.org/sfv/wtd/d/toyo-open-country-a30-good-used-tires/7424189474.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2221:19
",150,https://losangeles.craigslist.org/sfv/wtd/d/michelin-latitude-tour-hp-good-used/7424185443.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2220:24
",150,https://losangeles.craigslist.org/sfv/wtd/d/bridgestone-dueler-hl-good-used-tires/7424177607.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2220:22
",80,https://losangeles.craigslist.org/sfv/wtd/d/pirelli-cinturato-p7-run-flat-good-used/7424177271.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2218:56
",150,https://losangeles.craigslist.org/sfv/wtd/d/cooper-good-used-tires-van-nuys150-set/7424160976.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2218:21
",150,https://losangeles.craigslist.org/sfv/wtd/d/goodyear-wrangler-hl-good-used-tires/7424153768.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2218:19
",80,https://losangeles.craigslist.org/sfv/wtd/d/michelin-latitude-tour-hp-good-used/7424153339.html,,,,,,,,,,,,,,0,0,0,0,0,0
