DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,size / dimensions,model name / number
"
2021-12-0914:11
",75,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-glass-dinner-table/7418721754.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-2111:07
",10,https://losangeles.craigslist.org/sfv/clt/d/chatsworth-vintage-coca-cola-fountain/7423591106.html,,,,new,,,,,,,,,,Coca Cola,0,0
"
2021-12-2314:26
",89,https://losangeles.craigslist.org/wst/fuo/d/los-angeles-mid-century-modern-coffee/7424455280.html,,,,good,,,,,,,,,,0,30L x 21W x 17H,0
"
2021-12-1212:00
",40,https://losangeles.craigslist.org/sgv/atq/d/south-pasadena-vintage-soda-fountain/7419904904.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1911:40
",500,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-art-deco-archer-bronze/7422795151.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1912:14
",600,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-fabulous-art-deco-clock/7422809485.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1912:23
",50,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-beautiful-wood-urn-30/7422812911.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1719:50
",95,https://losangeles.craigslist.org/wst/grd/d/redondo-beach-flower-bed-fountain-new/7422204317.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-0218:37
",7500,https://losangeles.craigslist.org/wst/grd/d/redondo-beach-gladding-mcbean-bird-bath/7415741473.html,cryptocurrency ok,cryp,,like new,,,,,,,,,,Gladding McBean,0,0
"
2021-12-2110:38
",30,https://losangeles.craigslist.org/sgv/hsh/d/rowland-heights-dog-pet-water-fountain/7423576416.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0108:28
",98,https://losangeles.craigslist.org/ant/bfs/d/santa-clarita-coca-cola-fountain-bib/7415009155.html,delivery available,deli,,,,,,,,,,,,0,0,0
"
2021-12-2108:28
",45,https://losangeles.craigslist.org/wst/hsh/d/west-hollywood-deco-industial-desk-lamp/7423506760.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-0814:00
",25,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-mid-century-desk/7418274486.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-0813:59
",1150,https://losangeles.craigslist.org/wst/wto/d/fountain-valley-tacoma-truck-american/7418273827.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0622:38
",725,https://losangeles.craigslist.org/lac/fuo/d/van-nuys-amazing-heavy-concrete-water/7417517658.html,,,,fair,,,,,,,,,,0,"49""L.×34""W.×47""H.",0
"
2021-12-0512:38
",375,https://losangeles.craigslist.org/lac/fuo/d/van-nuys-vintage-fiberglass-water/7416879547.html,,,,good,,,,,,,,,,0,"49""L.×38""W.×45:H",0
"
2021-12-2310:11
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2014-chevrolet-express/7424352883.html,2014 Chevrolet Express Passenger,2014,95654,,8 cylinders,rwd,gas,white,,clean,automatic,van,1GBWGRFA5E1132039,0,0,0
"
2021-12-2310:11
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2006-ford-econoline/7424352637.html,2006 Ford Econoline Commercial,2006,182166,,8 cylinders,rwd,gas,white,,clean,automatic,,1FDSE35L56DA49884,0,0,0
"
2021-12-2310:09
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2014-chevrolet-express/7424351854.html,2014 Chevrolet Express Cargo Van,2014,170171,,8 cylinders,4wd,gas,white,,clean,automatic,van,1GCSHAF46E1196805,0,0,0
"
2021-12-2310:09
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2014-isuzu-npr-dsl-reg/7424351686.html,2014 Isuzu NPR DSL REG AT ECO-MAX,2014,93990,,4 cylinders,rwd,diesel,white,,clean,automatic,truck,JALB4W172E7400683,0,0,0
"
2021-12-2310:09
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2016-mercedes-benz/7424351511.html,2016 Mercedes-Benz Sprinter Passenger,2016,118033,,4 cylinders,rwd,diesel,,,clean,automatic,van,WDZPE7DD3GP290712,0,0,0
"
2021-12-2310:11
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2005-ford-econoline/7424352453.html,2005 Ford Econoline Cargo Van,2005,87000,,8 cylinders,rwd,gas,white,,clean,automatic,van,1FTNE24L35HA79289,0,0,0
"
2021-12-2310:10
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2019-mercedes-benz-cla/7424352355.html,2019 Mercedes-Benz CLA,2019,5664,,4 cylinders,fwd,gas,,,clean,automatic,sedan,WDDSJ4EB3KN715597,0,0,0
"
2021-12-2310:10
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2004-gmc-tc7500-stake/7424352234.html,2004 GMC TC7500,2004,205447,,8 cylinders,rwd,diesel,white,,clean,automatic,truck,1GDJ7C1C34F900903,0,0,0
"
2021-12-2310:10
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2013-ford-super-duty/7424352115.html,2013 Ford Super Duty F-750 Straight,2013,142040,,6 cylinders,rwd,diesel,,,clean,automatic,truck,3FRNF7FA1DV034445,0,0,0
"
2021-12-2310:10
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2002-chevrolet-express/7424351997.html,2002 Chevrolet Express Van,2002,150000,,8 cylinders,rwd,gas,green,,clean,automatic,van,1GAHG39R221246202,0,0,0
"
2021-12-1810:22
",250,https://losangeles.craigslist.org/lac/clt/d/los-angeles-37-vintage-antique-real/7422401183.html,delivery available,deli,,good,,,,,,,,,,0,0,0
"
2021-12-2108:24
",25,https://losangeles.craigslist.org/wst/hsh/d/west-hollywood-deco-industrial-desk-lamp/7423504985.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-2108:22
",40,https://losangeles.craigslist.org/wst/hsh/d/west-hollywood-fabulous-double-art-deco/7423503685.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-2108:18
",40,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-wonderful-mickey-mouse/7423501699.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-2306:54
",50,https://losangeles.craigslist.org/sfv/hsh/d/valencia-home-dcor-tabletop-water/7424262076.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-1409:24
",15,https://losangeles.craigslist.org/sgv/clt/d/montebello-tabletop-water-fountain/7420683428.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-2306:48
",125,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-art-deco-tiered-desk/7424259666.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-2306:42
",400,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-art-deco-crane-geometric/7424257541.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1619:28
",500,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-nubian-by-demeter/7421778371.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1619:24
",500,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-bayadere-by-chiparus-art/7421777394.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-0810:53
",150,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-erte-prints/7418178255.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-0118:18
",500,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-janle-tug-of-war-art/7415287558.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1619:41
",99,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-art-deco-sarsaparilla/7421781228.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1619:14
",500,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-shalimar-guerlain-15/7421775516.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-0106:36
",40,https://losangeles.craigslist.org/wst/for/d/west-hollywood-huge-art-deco-wall/7414953657.html,,,,good,,,,,,,,,,0,0,0
"
2021-11-2917:47
",50,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-mid-century-wood-and/7414361478.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-0106:36
",30,https://losangeles.craigslist.org/wst/for/d/west-hollywood-henri-matisse-print/7414953576.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-0810:18
",250,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-antique-african-mask-26/7418159124.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1619:07
",700,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-art-deco-frankart/7421773916.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-0107:45
",250,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-rare-cool-art-deco/7414986469.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-0812:25
",50,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-large-wood-thai-buddha/7418228036.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-0812:56
",300,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-uss-texas-ships-compass/7418243344.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-0810:44
",25,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-deco-egyptian-king-bust/7418173521.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-0118:08
",25,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-light-menorah-in-nickel/7415284478.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-0118:22
",60,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-deco-style-bombay-co/7415288473.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-0106:37
",25,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-old-acrylic-storage-box/7414954100.html,,,,good,,,,,,,,,,0,0,0
"
2021-11-2906:32
",200,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-bull-skull-prop-from/7414012844.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-0107:02
",30,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-italian-liquor-prints/7414965365.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-0106:36
",40,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-artists-easel-large/7414953715.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-0412:55
",49,https://losangeles.craigslist.org/lac/fuo/d/west-hollywood-silver-base-lamp-with/7416505522.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1809:58
",400,https://losangeles.craigslist.org/wst/sop/d/los-angeles-desktop-computer-parts-pc/7422388056.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-11-2909:14
",225,https://losangeles.craigslist.org/lgb/ele/d/fountain-valley-great-tv-plasma-lg-60pa/7414104591.html,,,,excellent,,,,,,,,,,LG,54.7 in x 14 in x 34.8 in,Model 60PA6500-UG
"
2021-12-0219:22
",0,https://losangeles.craigslist.org/sgv/mat/d/cantera-stone-water-fountain-fireplace/7415752946.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-2020:29
",320,https://losangeles.craigslist.org/sgv/art/d/glendale-fountain-italy-made/7423374593.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2222:00
",150,https://losangeles.craigslist.org/lac/app/d/los-angeles-panda-washer/7424190773.html,,,,excellent,,,,,,,,,,Panda,0,0
"
2021-12-0819:22
",1500,https://losangeles.craigslist.org/sfv/atq/d/woodland-hills-the-bastian-blessings/7418386058.html,delivery available,deli,,excellent,,,,,,,,,,THE BASTIAN-BLESSINGS COMPANY,"50""X60""X32""",3554CCNN
"
2021-12-0609:03
",1500,https://losangeles.craigslist.org/sfv/clt/d/woodland-hills-the-bastian-blessings/7417198414.html,delivery available,deli,,excellent,,,,,,,,,,THE,0,3554 CCNN
"
2021-12-2220:33
",21500,https://losangeles.craigslist.org/wst/cto/d/fountain-valley-2015-honda-odyssey-exl/7424178952.html,2015 Honda Odyssey EXL,2015,117000,excellent,6 cylinders,,gas,white,,clean,automatic,,,0,0,0
"
2021-12-1521:55
",2895,https://losangeles.craigslist.org/sfv/fuo/d/los-angeles-cloud-sectionals-in/7421388037.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-0619:42
",1500,https://losangeles.craigslist.org/wst/fuo/d/los-angeles-classic-italian-real-white/7417488021.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1412:16
",150,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-antique-hamburg-american/7420777537.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-1412:17
",60,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-wow-lalique-frosted/7420777684.html,,,,good,,,,,,,,,,Lalique,0,Crane LOUISIANE
"
2021-12-1412:17
",500,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-art-deco-van-de-voorde/7420777817.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1412:18
",200,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-rare-art-deco-grey/7420778259.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1412:17
",150,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-huge-deco-trophy-loving/7420778077.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1412:21
",375,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-rare-art-deco-diana-and/7420779551.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1412:21
",125,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-art-deco-diana-warrior/7420779725.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1412:21
",100,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-isis-egyptian-goddess/7420779871.html,,,,good,,,,,,,,,,Veronese Design,0,0
"
2021-12-1412:23
",1700,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-sculpture-ferdinand/7420780749.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1412:22
",20,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-small-tables-plant/7420780461.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1412:29
",50,https://losangeles.craigslist.org/wst/art/d/west-hollywood-paul-emile-lecomte/7420783503.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1412:29
",225,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-deco-industrial-antique/7420783692.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1412:30
",25,https://losangeles.craigslist.org/wst/for/d/west-hollywood-metal-budweiser-sign/7420783879.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1412:32
",20,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-gorgeous-items-20-each/7420784851.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1115:13
",10,https://losangeles.craigslist.org/wst/hsh/d/west-hollywood-color-changing-led/7419617772.html,,,,like new,,,,,,,,,,0,0,0
"
2021-11-2600:11
",8500,https://losangeles.craigslist.org/lac/msg/d/fountain-valley-baby-grand-yamaha-piano/7412732382.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2217:05
",100,https://losangeles.craigslist.org/sfv/clt/d/monterey-park-vintage-soda-beer-fountain/7424133909.html,,,,fair,,,,,,,,,,0,0,0
"
2021-12-2216:56
",20,https://losangeles.craigslist.org/wst/hsh/d/santa-monica-stone-fountain/7424131010.html,,,,fair,,,,,,,,,,na,"15 high, 16 wide",na
"
2021-12-2216:39
",25,https://losangeles.craigslist.org/sfv/fuo/d/los-angeles-metal-table-feet-wide/7424126243.html,,,,fair,,,,,,,,,,0,0,0
"
2021-12-1814:35
",25,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-deco-style-round-side/7422517678.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1814:31
",25,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-cool-mirror-top-round/7422516315.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-2216:01
",300,https://losangeles.craigslist.org/sfv/fuo/d/los-angeles-queen-size-bed-with-pillow/7424114153.html,,,,like new,,,,,,,,,,0,82x64x42,0
"
2021-12-1509:26
",300,https://losangeles.craigslist.org/sfv/fuo/d/los-angeles-strong-extendable-dining/7421118882.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-2215:50
",200,https://losangeles.craigslist.org/sfv/fuo/d/los-angeles-lift-top-coffee-table/7424110685.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-2214:54
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2012-chevrolet/7424091323.html,2012 Chevrolet Silverado 3500 HD  Ut,2012,148448,,,4wd,gas,,,clean,automatic,pickup,1GB0KZCG3CF155655,0,0,0
"
2021-12-2214:50
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2015-ford-ft-box-truck/7424090111.html,2015 Ford F-650 26FT Box Truck,2015,134193,,,,gas,,,clean,automatic,truck,3FRNF6HP8FV728113,0,0,0
"
2021-12-2214:51
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2016-isuzu-npr-12ft-box/7424090386.html,2016 Isuzu NPR 12FT Box Truck with L,2016,31297,,,,gas,,,clean,automatic,truck,54DB4W1B0GS802137,0,0,0
"
2021-12-2214:47
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2016-ford-transit-250/7424088964.html,2016 Ford Transit-250 Long Low Roof,2016,100869,,,rwd,gas,,,clean,automatic,van,1FTYR2ZM2GKA86856,0,0,0
"
2021-12-2214:47
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2019-mercedes-benz/7424088714.html,2019 Mercedes-Benz Sprinter 2500 Ext,2019,62412,,,rwd,diesel,,,clean,automatic,van,WD4PF1CDXKP123466,0,0,0
"
2021-12-2214:48
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2017-ford-transit-150/7424089180.html,2017 Ford Transit-150 Mid Roof Cargo,2017,52428,,,rwd,gas,,,clean,automatic,van,1FTYE1CM1HKB50935,0,0,0
"
2021-12-2214:44
",0,https://losangeles.craigslist.org/lac/ctd/d/fountain-valley-2017-chevrolet-city/7424087719.html,2017 Chevrolet City Express Cargo Mi,2017,75645,,,fwd,gas,,,clean,automatic,van,3N63M0YN7HK703985,0,0,0
"
2021-12-2214:37
",600,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-grey-marble-urns-vases/7424085375.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-2213:58
",75,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-erte-symphony-in-black/7424069583.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-2213:55
",60,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-king-kong-movie-poster/7424068357.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-2213:51
",60,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-old-oil-on-canvas/7424066869.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-2213:47
",40,https://losangeles.craigslist.org/wst/atq/d/west-hollywood-oil-on-canvas-ancient/7424065444.html,,,,good,,,,,,,,,,0,0,0
