DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,size / dimensions,model name / number,media type
"
2021-12-2314:52
",25,https://losangeles.craigslist.org/lac/atq/d/los-angeles-old-japanese-hand-painted/7424463474.html,,,,good,,,,,,,,,,0,0,0,0
"
2021-11-2623:44
",80,https://losangeles.craigslist.org/sgv/atq/d/los-angeles-japanese-geisha-doll/7413136773.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1621:03
",725,https://losangeles.craigslist.org/wst/atq/d/hemet-ultra-rare-1900s-japanese/7421796153.html,,,,excellent,,,,,,,,,,0,0,0,0
"
2021-12-1204:17
",79,https://losangeles.craigslist.org/wst/atq/d/geisha-girl-rare-antique-japanese/7419736665.html,,,,like new,,,,,,,,,,Kutani,"18"" Tall",0,0
"
2021-12-2200:46
",100,https://losangeles.craigslist.org/sgv/clo/d/pasadena-ed-hardy-ehs-025-geisha-and/7423809968.html,,,,new,,,,,,,,,,Ed Hardy,8x5x4 inch,EHS 025 Geisha and Dragon,0
"
2021-12-1421:34
",40,https://losangeles.craigslist.org/sgv/art/d/south-pasadena-vintage-geisha-paddle/7420959748.html,,,,good,,,,,,,,,,0,0,0,0
"
2021-12-2112:49
",1,https://losangeles.craigslist.org/lac/art/d/hacienda-heights-closeout-japanese/7423639873.html,,,,new,,,,,,,,,,Japan,Square and Rectangle,Geisha / Frames,0
"
2021-11-2505:48
",15,https://losangeles.craigslist.org/sgv/atq/d/whittier-vintage-mcm-1950s-geisha/7412500600.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-2505:48
",15,https://losangeles.craigslist.org/sgv/clt/d/whittier-geisha-display-doll/7412500698.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1805:21
",150,https://losangeles.craigslist.org/wst/clt/d/san-pedro-vintage-japan-travel-poster/7422267390.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-1619:15
",6000,https://losangeles.craigslist.org/wst/fuo/d/three-rivers-claro-walnut-geisha-table/7409008228.html,,,,like new,,,,,,,,,,0,0,0,0
"
2021-11-1915:13
",75,https://losangeles.craigslist.org/ant/atq/d/rosamond-vintage-geisha-dolls/7410270768.html,,,,like new,,,,,,,,,,0,"20""H x 9 3/4""W x 9 3/4""D",0,0
"
2021-12-1210:58
",1,https://losangeles.craigslist.org/sgv/art/d/japanese-oshie-art-girl-and-boy-in/7419876522.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-2209:55
",75,https://losangeles.craigslist.org/sfv/clt/d/simi-valley-cape-cloak-with-hood-deep/7411368659.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2018:21
",40,https://losangeles.craigslist.org/sgv/for/d/pasadena-vintage-hand-painted-mid/7423347557.html,,,,excellent,,,,,,,,,,0,0,0,0
"
2021-12-1020:17
",65,https://losangeles.craigslist.org/sfv/clo/d/chatsworth-eccentric-costume-outfits/7419284000.html,,,,,,,,,,,,,,0,"Small-Petite, inquire",0,0
