DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions,media type,bicycle frame material,bicycle type,frame size,wheel size,brake type,electric assist,handlebar type,suspension,number available
"
2021-12-1200:47
",250,https://losangeles.craigslist.org/wst/fuo/d/redondo-beach-like-new-kartell-louis/7419722402.html,delivery available,deli,,like new,,,,,,,,,,Louis Kartell,Ghost Chair,"H 37"" W 21.25"" D 21.75""",0,0,0,0,0,0,0,0,0,0
"
2021-12-1909:28
",180,https://losangeles.craigslist.org/wst/ele/d/beverly-hills-truaudio-ghost-gg-in/7422738604.html,,,,new,,,,,,,,,,TRUAUDIO,GG-4 GHOST,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0304:41
",12100,https://losangeles.craigslist.org/wst/pts/d/los-angeles-2011-rolls-royce-ghost-66l/7415818505.html,,,,excellent,,,,,,,,,,ROLLS ROYCE,GHOST,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0713:59
",30,https://losangeles.craigslist.org/wst/vgm/d/santa-monica-cod-call-of-duty-ghost/7417823666.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1011:59
",400,https://losangeles.craigslist.org/sgv/for/d/hacienda-heights-ghost-controls-heavy/7419102900.html,,,,new,,,,,,,,,,Ghost,DSU1,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2510:22
",168,https://losangeles.craigslist.org/wst/fuo/d/los-angeles-kartell-lou-lou-stark-ghost/7412585858.html,,,,good,,,,,,,,,,Kartell,Lou Lou,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0515:22
",390,https://losangeles.craigslist.org/sfv/fuo/d/glendale-still-boxed-beautyrest-hybrid/7416946096.html,,,,new,,,,,,,,,,Beauty Rest,"12"" Hybrid",84 x 72 x 12,0,0,0,0,0,0,0,0,0,0
"
2021-12-0518:01
",80,https://losangeles.craigslist.org/lac/emd/d/los-angeles-anime-bundle-akira-jin-roh/7416995481.html,,,,,,,,,,,,,,0,0,0,dvd,0,0,0,0,0,0,0,0,0
"
2021-12-2121:39
",2800,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-brand-new-adjustable-bed/7423793139.html,delivery available,deli,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2121:41
",40,https://losangeles.craigslist.org/wst/fuo/d/los-angeles-philippe-starck-louis-xvi/7423793357.html,,,,good,,,,,,,,,,Philippe Starck,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2122:24
",299,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-kartell-chair-original/7411186762.html,delivery available,deli,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2119:45
",30,https://losangeles.craigslist.org/lac/for/d/los-angeles-ikea-lamp-acrylic-ghost/7423774920.html,,,,excellent,,,,,,,,,,IKEA,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1808:41
",50,https://losangeles.craigslist.org/wst/fuo/d/valyermo-domitalia-smoked-plastic-ghost/7422346517.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2115:18
",200,https://losangeles.craigslist.org/sfv/spo/d/encino-easton-ghost-advanced-fastpitch/7423701919.html,,,,good,,,,,,,,,,Easton,Ghost Advanced,29 in/18 oz (-11),0,0,0,0,0,0,0,0,0,0
"
2021-12-1913:21
",50,https://losangeles.craigslist.org/lac/for/d/altadena-vintage-replica-halloween/7422836347.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2112:07
",38,https://losangeles.craigslist.org/lgb/vgm/d/long-beach-ghost-of-tsushima/7423620462.html,,,,like new,,,,,,,,,,Sony,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2209:11
",425,https://losangeles.craigslist.org/wst/spo/d/los-angeles-61-pyzel-ghost-surfboard/7411343093.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2109:28
",175,https://losangeles.craigslist.org/sfv/fuo/d/reseda-charles-ghost-by-kartell-stools/7423539024.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2109:12
",260,https://losangeles.craigslist.org/wst/fuo/d/manhattan-beach-louis-ghost-arm-chair/7423530587.html,delivery available,deli,,excellent,,,,,,,,,,Phillipe Starck,Louis Ghost Arm Chair,21 x 21 x 36.5,0,0,0,0,0,0,0,0,0,0
"
2021-12-0617:07
",65,https://losangeles.craigslist.org/wst/spo/d/santa-monica-baseball-bat-31in-easton/7417444508.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1114:46
",40,https://losangeles.craigslist.org/wst/vgm/d/harbor-city-the-ghost-ps4-new/7419607578.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
