DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,number available,venue,make / manufacturer,model name / number,size / dimensions
"
2021-12-1912:39
",0,https://losangeles.craigslist.org/sfv/clt/d/glendale-grizzly-bear-painting/7422819677.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-11-3017:49
",60,https://losangeles.craigslist.org/wst/tid/d/los-angeles-los-angeles-lakers-tickets/7414825672.html,,,,,,,,,,,,,,50,Los Angeles Lakers Tickets,0,0,0
"
2021-12-1115:56
",275,https://losangeles.craigslist.org/wst/spo/d/santa-monica-yeti-tundra-45/7419632213.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-12-1709:20
",0,https://bakersfield.craigslist.org/fod/d/frazier-park-shaker-plates-rumble/7421954538.html,delivery available,deli,,,,,,,,,,,,0,0,0,0,0
"
2021-11-2917:33
",25,https://orangecounty.craigslist.org/jwl/d/seal-beach-cool-vintage-navajo-bolo/7414356708.html,,,,excellent,,,,,,,,,,0,0,Handmade by Navajo Indian,0,0
"
2021-12-1422:10
",1,https://ventura.craigslist.org/wad/d/ventura-wanted-classic-cars/7420964364.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0206:38
",0,https://losangeles.craigslist.org/lac/tid/d/staples-center-tickets-morgan-wallen/7415406600.html,,,,,,,,,,,,,,30,STAPLES CENTER,0,0,0
"
2021-12-0109:15
",3650,https://bakersfield.craigslist.org/hvd/d/grand-junction-rock-screen-dirt-sifter/7415036680.html,delivery available,deli,,new,,,,,,,,,,0,0,Bear Iron Works,CUB,0
"
2021-12-0408:17
",0,https://inlandempire.craigslist.org/bfd/d/portland-425-acre-beautiful-farm-on-the/7416353377.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0116:03
",2199,https://bakersfield.craigslist.org/bfd/d/tractor-attachment-carryall-for-john/7415243067.html,,,,new,,,,,,,,,,0,0,Bigtoolrack,BTR Ultimate Rack,0
"
2021-11-3013:58
",200,https://losangeles.craigslist.org/lac/tix/d/lakers-vs-memphis-grizzlies-sunday/7414735450.html,,,,,,,,,,,,,,2,Staples Center,0,0,0
"
2021-12-2115:48
",0,https://losangeles.craigslist.org/lac/tid/d/los-angeles-laker-tickets-la-lakers-vs/7423712382.html,,,,,,,,,,,,,,10,Staples Center,0,0,0
"
2021-12-2021:03
",0,https://losangeles.craigslist.org/lac/tid/d/los-angeles-lakers-tickets-la-vs-san/7423380512.html,,,,,,,,,,,,,,10,Staples Center,0,0,0
"
2021-12-1506:05
",0,https://losangeles.craigslist.org/lac/tid/d/inglewood-sofi-stadium-tickets-la-rams/7421021800.html,,,,,,,,,,,,,,30,SoFi Stadium,0,0,0
"
2021-11-2908:38
",21000,https://inlandempire.craigslist.org/bfd/d/portland-60-kw-onan-propane-or-natural/7414082063.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-11-2609:02
",26800,https://inlandempire.craigslist.org/bfd/d/portland-100-kw-onan-propane-or-ng/7412853884.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-11-2508:00
",36800,https://inlandempire.craigslist.org/bfd/d/portland-250-kw-onan-diesel-generator/7412538254.html,,,,,,,,,,,,,,0,0,0,0,0
