DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,engine hours (total),length overall (LOA),propulsion type,year manufactured,size / dimensions,bicycle frame material,bicycle type,brake type,electric assist,frame size,handlebar type,suspension,wheel size,engine displacement (CC),media type
"
2021-12-1811:21
",20,https://losangeles.craigslist.org/lgb/bks/d/long-beach-elvis-presley-the-man-the/7422431757.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1023:35
",2500,https://losangeles.craigslist.org/sgv/snw/d/la-canada-flintridge-legend-race-car/7419309537.html,,,,excellent,,,,,,,,,,Legend,race car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1114:21
",20,https://losangeles.craigslist.org/sgv/ele/d/pasadena-vapes-for-sale-artery-nugget/7419598062.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2310:14
",52500,https://losangeles.craigslist.org/wst/boa/d/marina-del-rey-40-hunter-legend-two/7424353924.html,,,,good,,,,,,,,,,Hunter,Legend,1000,40,sail,1986,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1408:46
",500,https://losangeles.craigslist.org/lac/hab/d/beverly-hills-legend-knee-brace-donjoy/7420662144.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2303:58
",4500,https://losangeles.craigslist.org/lgb/pts/d/las-vegas-new-legend-lgt-speed-racing/7424219492.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2223:34
",30,https://losangeles.craigslist.org/lgb/for/d/long-beach-merrell-world-rambler-and/7424200018.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0513:33
",250,https://losangeles.craigslist.org/sgv/wto/d/montebello-set-of-four-acura-legend-15/7416903864.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2611:27
",45,https://losangeles.craigslist.org/lac/vgm/d/los-angeles-the-legend-of-zelda-breath/7412932319.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2214:10
",250,https://losangeles.craigslist.org/lac/msg/d/los-angeles-spector-legend-performer/7424074530.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0316:00
",29,https://losangeles.craigslist.org/wst/vgm/d/los-angeles-legend-of-zelda-breath-of/7416142579.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0711:48
",1500,https://losangeles.craigslist.org/ant/hsh/d/lancaster-bamboo-flooring/7417757030.html,,,,new,,,,,,,,,,Home Legend,RN 104577,0,0,0,0,"5/8"" x 3 3/4"" x 37 3/4""",0,0,0,0,0,0,0,0,0,0
"
2021-12-1619:58
",750,https://losangeles.craigslist.org/sgv/msg/d/sierra-madre-ovation-legend-mint/7421784682.html,,,,like new,,,,,,,,,,Ovation,1867 shallow bowl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2007:22
",900,https://losangeles.craigslist.org/lgb/for/d/scooter-pride-legend-wheel-power-300lbs/7423054546.html,,,,excellent,,,,,,,,,,Pride,Legend 3 Wheel,0,0,0,0,300 lbs capacity,0,0,0,0,0,0,0,0,0,0
"
2021-12-2206:48
",125,https://losangeles.craigslist.org/sfv/bks/d/woodland-hills-bosendorfer-living-legend/7423866483.html,,,,like new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2707:18
",785,https://losangeles.craigslist.org/wst/clt/d/los-angeles-kareem-abdul-jabbar-signed/7413210601.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2204:23
",250,https://losangeles.craigslist.org/sfv/msg/d/van-nuys-spector-legend-bass-string-mik/7423827848.html,,,,excellent,,,,,,,,,,Spector,Legend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1917:33
",95,https://losangeles.craigslist.org/sfv/msg/d/van-nuys-eminence-1028k-10-35w-legend/7422915848.html,,,,new,,,,,,,,,,eminence,legend 1028k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0411:08
",100,https://losangeles.craigslist.org/lac/spo/d/los-angeles-nidecker-legend-164cm/7416448948.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2113:27
",45,https://losangeles.craigslist.org/lac/vgm/d/los-angeles-new-switch-joy-con-the/7423657536.html,,,,new,,,,,,,,,,NINTENDO,HAC A JAUAE USZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2110:49
",400,https://losangeles.craigslist.org/sfv/msg/d/sherman-oaks-spector-legend-classic-bass/7423581616.html,,,,good,,,,,,,,,,Spector,Legend 5 Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1210:30
",300,https://losangeles.craigslist.org/sfv/clt/d/burbank-usc-legend-anthony-davis-signed/7419863726.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0513:49
",300,https://losangeles.craigslist.org/wst/fuo/d/torrance-tv-stand-entertainment-center/7416910017.html,,,,good,,,,,,,,,,Legend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0721:10
",20,https://losangeles.craigslist.org/wst/pts/d/carson-will-ship-acura-legend-integra/7417959550.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2000:18
",140,https://losangeles.craigslist.org/sgv/wto/d/alhambra-set-of-acura-legend-coupe-x6/7422977720.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-3019:21
",175,https://losangeles.craigslist.org/sfv/bik/d/tujunga-24-mongoose-mountain-bike/7414850294.html,,,,like new,,,,,,,,,,Mongoose,Legend,0,0,0,0,0,steel,mountain,cantilever,none,Medium,flat,frame and fork (full suspension),24 in,0,0
"
2021-12-0909:30
",1,https://losangeles.craigslist.org/sgv/pts/d/la-canada-flintridge-1995-acura-legend/7418574663.html,,,,,,,,,,,,,,Acura,Legend coupe LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1910:01
",100,https://losangeles.craigslist.org/lac/app/d/los-angeles-vintage-kirby-heritage-ll/7422752992.html,,,,excellent,,,,,,,,,,Kirby,Heritage ll Legend,0,0,0,0,"16""w x 43""h x 13""d",0,0,0,0,0,0,0,0,0,0
"
2021-11-2709:08
",20,https://losangeles.craigslist.org/lgb/ele/d/lakewood-new-brady-porta-pack-wire/7413266749.html,size / dimensions,size,,new,,,,,,,,,,brady,PWM-PK-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1823:56
",75,https://losangeles.craigslist.org/lgb/pts/d/south-pasadena-acura-legend-v6-engine/7422627650.html,,,,excellent,,,,,,,,,,Acura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1817:44
",1500,https://losangeles.craigslist.org/sfv/art/d/north-hollywood-signed-animation-art/7422574445.html,,,,good,,,,,,,,,,0,0,0,0,0,0,24 x 21,0,0,0,0,0,0,0,0,0,0
"
2021-12-1213:46
",39,https://losangeles.craigslist.org/sfv/vgm/d/calabasas-nintendo-switch-the-legend-of/7419949867.html,,,,new,,,,,,,,,,Nintendo,Switch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-1908:21
",25,https://losangeles.craigslist.org/lac/tag/d/los-angeles-legend-of-the-dark-knight/7410050948.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-1719:38
",80,https://losangeles.craigslist.org/sfv/vgm/d/glendale-nintendo-game-watch-the-legend/7409458120.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1711:19
",400,https://losangeles.craigslist.org/lgb/clt/d/long-beach-batman-1989-keaton-nicholson/7422019151.html,,,,,,,,,,,,,,Batman,0,0,0,0,0,"29"" x 32""",0,0,0,0,0,0,0,0,0,0
"
2021-11-2713:52
",3600,https://losangeles.craigslist.org/lac/art/d/bill-mack-marilyn-monroe-legend-obo/7413415851.html,,,,good,,,,,,,,,,Bill Mack,Marilyn Monroe Legend 11/195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1118:06
",2000,https://losangeles.craigslist.org/lac/msg/d/los-angeles-vintage-ovation-1719-custom/7419668643.html,,,,excellent,,,,,,,,,,Ovation,Custom Legend 1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0218:56
",10,https://losangeles.craigslist.org/wst/for/d/venice-queens-freddie-mercury-rock-icon/7415746465.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1610:54
",275,https://losangeles.craigslist.org/sfv/pts/d/simi-valley-truck-shell/7421583223.html,,,,good,,,,,,,,,,American Truck Outfitters,Legend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
