DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,size / dimensions,model name / number
"
2021-12-0121:47
",60,https://losangeles.craigslist.org/wst/clo/d/los-angeles-large-assortment-of-novelty/7415331880.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0120:43
",12,https://losangeles.craigslist.org/wst/clo/d/los-angeles-lot-of-novelty-shirts/7415321668.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-2110:54
",16,https://losangeles.craigslist.org/sfv/for/d/winnetka-novelty-gag-gifts-for-adults/7423584070.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-0823:02
",1,https://losangeles.craigslist.org/wst/for/d/marina-del-rey-alcohol-booze-novelty/7418421787.html,,,,like new,,,,,,,,,,0,0,0
"
2021-11-3012:32
",39,https://losangeles.craigslist.org/wst/atq/d/torrance-wood-wooden-cedar-chest-by/7414692363.html,,,,like new,,,,,,,,,,WEST BRANCH,0,0
"
2021-11-3013:36
",10,https://losangeles.craigslist.org/sfv/clo/d/van-nuys-nicole-miller-silk-ties/7414724525.html,,,,like new,,,,,,,,,,NICOLE MILLER,"54""",0
"
2021-12-0215:09
",5,https://losangeles.craigslist.org/wst/for/d/playa-del-rey-new-beat-box-portable/7415670174.html,,,,new,,,,,,,,,,0,0,Beat Box
"
2021-12-1310:06
",10,https://losangeles.craigslist.org/lac/clo/d/los-angeles-one-piece-costume-novelty/7420264852.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-0312:20
",5,https://losangeles.craigslist.org/sfv/clo/d/canoga-park-three-novelty-burger/7416039545.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-2123:20
",5,https://losangeles.craigslist.org/sgv/for/d/pomona-novelty-christmas-lights-single/7423804023.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2123:19
",5,https://losangeles.craigslist.org/sgv/for/d/pomona-novelty-christmas-lights-candle/7423803958.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2122:41
",5,https://losangeles.craigslist.org/sgv/for/d/pomona-novelty-christmas-lights/7423800408.html,,,,,,,,,,,,,,0,0,0
"
2021-11-2612:30
",10,https://losangeles.craigslist.org/wst/for/d/los-angeles-golfing-novelty-item-burn/7412963140.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-1008:19
",19,https://losangeles.craigslist.org/sfv/for/d/sherman-oaks-new-rhode-island-novelty/7418977601.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1415:54
",15,https://losangeles.craigslist.org/sgv/clt/d/south-pasadena-novelty-juno-hamburger/7420873982.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-11-2115:18
",99,https://losangeles.craigslist.org/sfv/clt/d/woodland-hills-drink-matic-novelty-soda/7411089494.html,,,,good,,,,,,,,,,0,0,0
"
2021-11-2517:27
",5,https://losangeles.craigslist.org/sfv/for/d/sylmar-novelty-clocks/7412684481.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-2023:45
",45,https://losangeles.craigslist.org/sgv/clo/d/whittier-novelty-anime-pasadena-tee/7423398381.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-1315:48
",15,https://losangeles.craigslist.org/lac/for/d/los-angeles-small-lamp-plexiglass/7420432603.html,,,,,,,,,,,,,,0,"7""x3""x8""",0
"
2021-12-1821:18
",15,https://losangeles.craigslist.org/wst/for/d/los-angeles-girls-night-in-novelty-wine/7422613141.html,,,,new,,,,,,,,,,0,0,0
"
2021-11-1722:13
",10,https://losangeles.craigslist.org/lac/clo/d/los-angeles-one-piece-novelty-cosplay/7409483961.html,,,,new,,,,,,,,,,0,0,0
"
2021-11-1620:29
",15,https://losangeles.craigslist.org/sfv/for/d/sherman-oaks-deluxe-horse-mask/7409023119.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-1811:51
",999,https://losangeles.craigslist.org/sfv/fuo/d/sherman-oaks-999-karl-springer-inspired/7422446452.html,,,,excellent,,,,,,,,,,KARL SPRINGER,6’ wide x 16 deep x 32 high,Waterfall Table
"
2021-11-2707:06
",0,https://losangeles.craigslist.org/sfv/atq/d/vintage-stuffed-animals/7413205029.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-0217:20
",666,https://losangeles.craigslist.org/lac/clt/d/los-angeles-new-nos-vintage-motley-crue/7415718926.html,,,,new,,,,,,,,,,BROCKUM,0,MOTLEY CRUE
"
2021-12-1202:12
",0,https://losangeles.craigslist.org/lgb/atd/d/reno-we-service-fix-and-restore-all/7419726845.html,,,,excellent,,,,,,,,,,ANTIQUE SLOT MACHINES.,0,0
"
2021-12-1910:26
",50,https://losangeles.craigslist.org/lac/clo/d/los-angeles-justin-mccarty-vintage-60s/7422763949.html,delivery available,deli,,excellent,,,,,,,,,,0,0,0
"
2021-12-2221:05
",100,https://losangeles.craigslist.org/sfv/atq/d/devil-dog-40s-antique-car-alarm/7424183762.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1412:02
",50,https://losangeles.craigslist.org/lac/tag/d/culver-city-playing-cards-bulk-nib/7420770257.html,,,,new,,,,,,,,,,0,0,0
"
2021-11-2718:05
",10,https://losangeles.craigslist.org/sfv/tag/d/north-hollywood-lot-of-vintage-troll/7413501960.html,,,,good,,,,,,,,,,0,0,0
"
2021-12-1323:35
",29,https://losangeles.craigslist.org/sfv/hsh/d/tarzana-long-stem-rose-soaps-new-in-box/7420536442.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-0410:22
",40,https://losangeles.craigslist.org/lac/clt/d/los-angeles-razors-edge-bill-murray/7416422288.html,delivery available,deli,,excellent,,,,,,,,,,0,0,0
"
2021-12-2120:27
",2,https://losangeles.craigslist.org/wst/clt/d/los-angeles-actress-kaychain/7423782317.html,,,,fair,,,,,,,,,,0,0,0
"
2021-12-0816:02
",200,https://losangeles.craigslist.org/lac/for/d/los-angeles-two-greek-napoli-white/7418325320.html,,,,excellent,,,,,,,,,,Great Deal Furniture,"19"" L x 19"" W x 26"" H",0
