DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions
"
2021-12-2313:07
",275,https://losangeles.craigslist.org/sfv/atq/d/granada-hills-vintage-chinoiserie/7424427085.html,,,,excellent,,,,,,,,,,Oriental,Table Lamp,"8.5""x 8.5""x 19"" tall"
"
2021-11-2410:15
",350,https://losangeles.craigslist.org/sgv/atq/d/whittier-carved-sofa-with-new-pagoda/7412244016.html,delivery available,deli,,good,,,,,,,,,,0,0,0
"
2021-12-0418:22
",700,https://losangeles.craigslist.org/sfv/fuo/d/studio-city-vintage-bernhardt-pagoda/7416622373.html,delivery available,deli,,excellent,,,,,,,,,,0,0,0
"
2021-12-0407:54
",150,https://losangeles.craigslist.org/lgb/fuo/d/long-beach-potter-pagoda-style-showcase/7416341363.html,,,,like new,,,,,,,,,,0,0,14x12x36
"
2021-12-1605:04
",0,https://losangeles.craigslist.org/sfv/grd/d/valencia-multi-tiered-pagoda/7421426261.html,cryptocurrency ok,cryp,,,,,,,,,,,,0,0,0
"
2021-11-3017:02
",150,https://losangeles.craigslist.org/lgb/atq/d/long-beach-golden-pagoda-neon-sign-photo/7414810052.html,delivery available,deli,,excellent,,,,,,,,,,0,0,25 x 36
"
2021-11-2417:50
",65,https://ventura.craigslist.org/art/d/agoura-hills-japanese-woodblock-print/7412415641.html,,,,excellent,,,,,,,,,,0,0,15.375 x 10.375
"
2021-12-2015:32
",150,https://losangeles.craigslist.org/wst/fuo/d/beverly-hills-mcm-mid-century-modern/7423295733.html,,,,good,,,,,,,,,,Vintage,0,0
"
2021-12-1606:46
",0,https://losangeles.craigslist.org/sgv/grd/d/buddha-pagoda-ganesh/7421457339.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-0515:26
",600,https://losangeles.craigslist.org/sfv/fuo/d/sherman-oaks-vintage-faux-bamboo-pagoda/7416947633.html,,,,good,,,,,,,,,,0,0,0
