DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,size / dimensions,make / manufacturer,model name / number
"
2021-11-1720:52
",25,https://losangeles.craigslist.org/lac/art/d/los-angeles-floral-peony-enamel-painting/7409472457.html,,,,excellent,,,,,,,,,,10 x 12 ins.,0,0
"
2021-12-2214:19
",35,https://losangeles.craigslist.org/sfv/clo/d/los-angeles-coach-sunglasses-peony-s471/7424078257.html,,,,like new,,,,,,,,,,0,COACH,Peony S471
"
2021-12-1218:08
",2,https://losangeles.craigslist.org/sfv/hab/d/san-fernando-victorias-secret-bath-body/7420036354.html,,,,new,,,,,,,,,,0,0,0
"
2021-11-2421:15
",0,https://losangeles.craigslist.org/lac/atq/d/los-angeles-gifts-presents-hanukkah/7412451031.html,,,,,,,,,,,,,,0,0,0
"
2021-11-2623:55
",110,https://losangeles.craigslist.org/sgv/atq/d/los-angeles-noir-cloisonne-vases/7413137530.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2213:24
",88,https://losangeles.craigslist.org/lac/grq/d/used-aluminum-water-transfer-pipe-and-40/7424055943.html,,,,new,,,,,,,,,,Above Ground,Aluminum,Irrigation
"
2021-12-2114:03
",65,https://bakersfield.craigslist.org/mad/d/zycosil-concrete-sealer-masonry/7423672661.html,,,,new,,,,,,,,,,repellant,Concrete sealer,Waterproof
"
2021-12-0413:00
",750,https://losangeles.craigslist.org/sfv/clt/d/west-hills-palatial-chinese-porcelain/7416507571.html,,,,like new,,,,,,,,,,54 in H 26 in W,0,0
"
2021-12-2110:28
",0,https://losangeles.craigslist.org/lac/mad/d/unused-steel-aluminum-tubing-various/7423571102.html,,,,new,,,,,,,,,,Steel Tubing,Octagon Tubing,Square Tubing
"
2021-12-1415:19
",80,https://losangeles.craigslist.org/lac/clo/d/los-angeles-red-hat-encrusted-with/7420860875.html,,,,,,,,,,,,,,0,0,0
"
2021-11-2419:42
",0,https://losangeles.craigslist.org/lac/mad/d/55-gallon-metal-barrel-truckload-food/7412437416.html,,,,like new,,,,,,,,,,55 Gallon,Metal,Food Grade
"
2021-12-0404:41
",80,https://bakersfield.craigslist.org/grq/d/used-steel-bar-grating-free-shipping-on/7416273497.html,,,,good,,,,,,,,,,Deck Railing,Fence Panels,Grating Bridges
"
2021-12-0822:43
",200,https://losangeles.craigslist.org/lac/mad/d/new-in-box-work-benches-adjustable/7418419850.html,,,,excellent,,,,,,,,,,Packing Table,Steel,Adjustable
"
2021-12-0822:26
",20,https://losangeles.craigslist.org/lac/mad/d/retired-fire-hose-25-50-located-in/7418417942.html,,,,good,,,,,,,,,,Irrigation Hose,Fire Hose,W/Couplings
"
2021-12-0414:13
",75,https://bakersfield.craigslist.org/grq/d/new-irrigation-hose-rain-bird-drip-line/7416541998.html,,,,new,,,,,,,,,,Various,Rain Bird,Irrigation Hose
"
2021-12-0218:04
",5,https://losangeles.craigslist.org/lac/grq/d/used-vegetable-crates-could-be-planter/7415732239.html,,,,good,,,,,,,,,,"23"" x 15"" x 8""",Plastic,Crate
"
2021-12-0217:28
",40,https://losangeles.craigslist.org/lac/mad/d/lightly-used-trash-totes-lockable/7415721389.html,,,,like new,,,,,,,,,,Trash Totes,Plastic,96 64 Gallon
"
2021-12-0120:15
",80,https://losangeles.craigslist.org/lac/grq/d/used-steel-grating-15-thick-free/7415316337.html,,,,good,,,,,,,,,,Fencing,Shelving,Bridge
"
2021-11-3001:39
",750,https://orangecounty.craigslist.org/grq/d/unused-bulk-fire-hoses-sold-by-the/7414437277.html,,,,like new,,,,,,,,,,Various,Fabric,Fire Hose
"
2021-12-1108:56
",1,https://orangecounty.craigslist.org/clt/d/newport-beach-vintage-churchill-pink/7419432945.html,,,,like new,,,,,,,,,,0,Churchill,0
"
2021-11-0223:42
",5,https://orangecounty.craigslist.org/hab/d/ladera-ranch-sun-ten-tang-kuei-peony/7402828655.html,,,,new,,,,,,,,,,0,Baicao,SUN TEN - TANG-KUEI & PEONY
"
2021-12-0410:14
",0,https://orangecounty.craigslist.org/hsh/d/san-clemente-candles-new/7416417760.html,,,,new,,,,,,,,,,0,NEW,CANDLES
"
2021-12-2014:09
",50,https://orangecounty.craigslist.org/art/d/dana-point-framed-picture/7423263492.html,,,,excellent,,,,,,,,,,"33"" x 41""",Pier 1,0
"
2021-12-1813:49
",645,https://orangecounty.craigslist.org/atq/d/newport-beach-antique-japanese-four/7422499738.html,,,,like new,,,,,,,,,,0,0,0
