DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,bicycle frame material,bicycle type,frame size,wheel size,media type
"
2021-12-1010:20
",15,https://losangeles.craigslist.org/sfv/tag/d/reseda-vintage-model-car/7419047669.html,,,,fair,,,,,,,,,,PYRO,Speedster,0,0,0,0,0
"
2021-12-2209:32
",20,https://losangeles.craigslist.org/lgb/tag/d/la-mirada-spiderman-marvel-star-wars/7423946582.html,,,,,,,,,,,,,,toybiz / kenner,0,0,0,0,0,0
"
2021-11-2213:00
",35,https://losangeles.craigslist.org/sfv/clt/d/simi-valley-toys-cast-iron-still-bank/7411470870.html,,,,,,,,,,,,,,0,0,0,0,0,0,0
"
2021-12-1212:41
",400,https://losangeles.craigslist.org/wst/bik/d/culver-city-one-of-kind-flaming-nirve/7419923020.html,,,,,,,,,,,,,,0,0,steel,cruiser,Large,26 in,0
"
2021-12-0907:24
",15,https://losangeles.craigslist.org/lac/msg/d/stephen-perkins-instructional-dvd/7418505626.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0
"
2021-11-2920:16
",6000,https://palmsprings.craigslist.org/fod/d/moorhead-commercial-bbq-smokers-and/7414401190.html,,,,new,,,,,,,,,,cajunsmokers.com,0,0,0,0,0,0
"
2021-12-0710:07
",15,https://orangecounty.craigslist.org/ele/d/newport-beach-ads-pyro-v-link-analog-to/7417698858.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0
"
2021-12-1512:28
",1,https://orangecounty.craigslist.org/for/d/tustin-pyro/7421215201.html,,,,,,,,,,,,,,0,0,0,0,0,0,0
"
2021-12-0720:41
",0,https://orangecounty.craigslist.org/emd/d/garden-grove-57-music-different-cds/7417954524.html,,,,,,,,,,,,,,0,0,0,0,0,0,cd
"
2021-12-2222:37
",1100,https://santabarbara.craigslist.org/pho/d/santa-barbara-jobo-cpa2-processor-with/7424194880.html,,,,excellent,,,,,,,,,,Jobo,CPA2,0,0,0,0,0
"
2021-11-2813:35
",40,https://santabarbara.craigslist.org/spo/d/santa-barbara-mens-wetsuits-xcel-oneill/7413794188.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0
