DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions
"
2021-12-2308:34
",130,https://losangeles.craigslist.org/sfv/for/d/sherman-oaks-hard-shell-near-new-large/7424305577.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1421:01
",6,https://losangeles.craigslist.org/lac/for/d/glendale-turn-around-spinner-firm-price/7420954875.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1719:58
",149,https://losangeles.craigslist.org/sfv/for/d/sherman-oaks-samsonite-soft-side/7422205768.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1913:07
",180,https://losangeles.craigslist.org/lac/hsh/d/los-angeles-travelpro-softside/7422830731.html,delivery available,deli,,new,,,,,,,,,,Travelpro International Inc.,407186905,0
"
2021-12-1411:22
",60,https://losangeles.craigslist.org/lac/for/d/los-angeles-delsey-helium-aero-hardside/7420749018.html,delivery available,deli,,new,,,,,,,,,,DELSEY,07644RD,23 x 15.25 x 10.75 inches
"
2021-12-1517:14
",15,https://losangeles.craigslist.org/sgv/clt/d/glendora-vintage-clown-trapeze-acrobat/7421328187.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2210:06
",0,https://losangeles.craigslist.org/sfv/for/d/tarzana-hand-spinner-fidget-toy-focus/7423963924.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0911:26
",5,https://losangeles.craigslist.org/sgv/tag/d/rowland-heights-aluminum-metal-tri-hand/7418639559.html,,,,,,,,,,,,,,0,0,0
"
2021-11-2212:27
",60,https://losangeles.craigslist.org/lgb/hsh/d/rowland-heights-decor-outdoor-spinner/7411453964.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1610:35
",50,https://losangeles.craigslist.org/wst/bab/d/rowland-heights-lot-of-12pcs-aluminum/7421573259.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2209:42
",1,https://losangeles.craigslist.org/sfv/pts/d/north-hills-hunter-wheel-spinner/7423951481.html,,,,,,,,,,,,,,0,0,0
"
2021-11-2711:36
",250,https://losangeles.craigslist.org/sgv/pts/d/hemet-1959-pontiac-bonneville-spinner/7413350765.html,,,,excellent,,,,,,,,,,Pontiac/GM,0,0
