DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,bicycle frame material,bicycle type,brake type,frame size,suspension,wheel size,size / dimensions,part type
"
2021-12-2315:08
",125,https://losangeles.craigslist.org/lgb/pts/d/long-beach-mercedes-w210-e320-tail/7424468991.html,,,,excellent,,,,,,,,,,mercedes,E320 E420,0,0,0,0,0,0,0,0
"
2021-12-2315:05
",55,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-honda-civic/7424467917.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0714:22
",0,https://losangeles.craigslist.org/sfv/pts/d/sun-valley-trans-am-honey-comb-right/7417834896.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-0714:20
",0,https://losangeles.craigslist.org/sfv/pts/d/sun-valley-camaro-right-tail-light/7417833940.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1715:25
",20,https://losangeles.craigslist.org/sfv/pts/d/sun-valley-93-sentra-nissan-right-tail/7422129755.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1715:23
",20,https://losangeles.craigslist.org/sfv/pts/d/sun-valley-86-horizon-right-tail-light/7422128917.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1715:20
",0,https://losangeles.craigslist.org/sfv/pts/d/sun-valley-1980-ford-pickup-left-tail/7422127777.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-11-3016:02
",40,https://losangeles.craigslist.org/sfv/pts/d/chatsworth-new-jeep-huge-led-tail-lights/7414787997.html,,,,new,,,,,,,,,,Realove,0,0,0,0,0,0,0,0,0
"
2021-12-2314:38
",80,https://losangeles.craigslist.org/lac/pts/d/los-angeles-tail-lights-honda-accord/7424459111.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
"
2021-12-1510:54
",275,https://losangeles.craigslist.org/sfv/pts/d/canoga-park-toyota-tacoma-tail-gate/7421167408.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
