DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,engine displacement (CC),make / manufacturer,model name / number,size / dimensions
"
2021-12-2316:06
",30,https://losangeles.craigslist.org/sfv/mpo/d/studio-city-triumph-kn-airinjection/7424485423.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-0117:17
",225,https://losangeles.craigslist.org/sfv/atq/d/burbank-1960s-adler-triumph-vintage/7415269040.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1609:55
",39,https://losangeles.craigslist.org/sfv/mpo/d/studio-city-triumph-bonnevillethruxton/7421551760.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2315:38
",33,https://losangeles.craigslist.org/sfv/hab/d/canyon-country-new-oral-triumph/7424477774.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2315:21
",14995,https://losangeles.craigslist.org/lac/mcy/d/costa-mesa-1973-triumph-daytona-t100r/7424472925.html,street legal,stre,7844,,,,gas,black,,clean,manual,cafe racer,,0,0,0,0
"
2021-12-2315:17
",11995,https://losangeles.craigslist.org/lac/mcy/d/costa-mesa-1981-triumph-electro-t140e/7424471657.html,street legal,stre,17674,like new,,,gas,orange,,clean,manual,street,,750,0,0,0
"
2021-12-1516:31
",999,https://losangeles.craigslist.org/lgb/bfd/d/los-angeles-one-door-glass-door/7421314227.html,,,,new,,,,,,,,,,0,Chef AAA,Brand New,Free Shipping
"
2021-12-2312:21
",150,https://losangeles.craigslist.org/lgb/pts/d/bellflower-triumph-tr2-3a-3b-dash/7424409463.html,,,,good,,,,,,,,,,0,Triumph,TR2/3/3A/3B,0
"
2021-12-2108:36
",7500,https://losangeles.craigslist.org/lac/for/d/santa-barbara-1970-triumph-tr6/7423511351.html,,,,excellent,,,,,,,,,,0,0,0,0
"
2021-12-2311:14
",8499,https://losangeles.craigslist.org/lgb/mcd/d/lemon-grove-2017-triumph-bonneville/7424381369.html,2017 Triumph Bonneville Street Twin,2017,9900,like new,,,gas,black,,clean,manual,standard,SMTD31GN3HT795587,900,0,0,0
"
2021-12-2311:00
",10999,https://losangeles.craigslist.org/sgv/mcd/d/lemon-grove-2016-triumph-daytona-675/7424375088.html,2016 Triumph Daytona 675R,2016,2890,like new,,,gas,black,,clean,manual,sport bike,SMTA02YK9GJ738729,675,0,0,0
"
2021-12-2310:30
",750,https://losangeles.craigslist.org/lgb/pts/d/bellflower-triumph-tr2-3b-chassis-frame/7424361335.html,,,,excellent,,,,,,,,,,0,Triumph,2/3B,0
"
2021-12-1709:35
",11800,https://losangeles.craigslist.org/lac/mcy/d/boulder-city-speed-twin-only-1311-miles/7421962727.html,street legal,stre,1311,like new,,,gas,red,,clean,manual,standard,,1200,0,0,0
"
2021-12-2220:45
",7500,https://losangeles.craigslist.org/lac/mcy/d/los-angeles-triumph-bonneville/7424180673.html,street legal,stre,6540,like new,,,gas,black,,clean,manual,cafe racer,,0,0,0,0
"
2021-12-1313:41
",0,https://losangeles.craigslist.org/sgv/mpo/d/arcadia-aluminum-welding-tig-brazing/7420377358.html,,,,,,,,,,,,,,0,honda yam suz kawi,ktm triumph,0
"
2021-12-2219:11
",3500,https://losangeles.craigslist.org/lac/for/d/long-beach-2002-triumph-speed-triple/7424164590.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2216:26
",1100,https://losangeles.craigslist.org/lac/bfd/d/los-angeles-nsf-door-undercounter/7424122188.html,,,,new,,,,,,,,,,0,Chef AAA,Manufacture Warranty,Brand New
"
2021-11-2615:50
",200,https://losangeles.craigslist.org/sgv/wto/d/montebello-two-13-inch-daisy-or-libre/7413044239.html,,,,,,,,,,,,,,0,0,0,0
