DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,mobile OS,make / manufacturer,model name / number,size / dimensions
"
2021-11-1812:09
",30,https://losangeles.craigslist.org/lac/mob/d/los-angeles-samsung-electronics-samsung/7409733585.html,,,,new,,,,,,,,,,android,0,0,0
"
2021-12-1611:39
",4500,https://losangeles.craigslist.org/sgv/ele/d/el-monte-roland-lef-20-lef-12-uv-printer/7421606768.html,,,,good,,,,,,,,,,0,Roland,LEF 300 LEF 20,0
"
2021-12-0609:13
",15,https://losangeles.craigslist.org/lgb/ele/d/san-pedro-nail-uv-lamp/7417204597.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-0714:36
",50,https://losangeles.craigslist.org/lac/for/d/square-rectangle-sun-shade-durable/7417841077.html,delivery available,deli,,,,,,,,,,,,0,Petra Sports & Leisure,0,0
"
2021-12-0714:36
",50,https://losangeles.craigslist.org/lac/for/d/petras-triangle-sun-shade-durable/7417841379.html,delivery available,deli,,,,,,,,,,,,0,Petra Sports & Leisure,0,0
"
2021-12-0714:41
",40,https://losangeles.craigslist.org/lac/for/d/riverside-indoor-outdoor-roll-up-window/7417843443.html,delivery available,deli,,,,,,,,,,,,0,Petra Sports & Leisure,0,0
"
2021-12-2308:47
",22,https://losangeles.craigslist.org/sgv/grd/d/la-puente-185gsm-uv-block-sun-shade/7424311801.html,,,,new,,,,,,,,,,0,Alion,Custom,0
"
2021-12-0514:27
",50,https://losangeles.craigslist.org/lac/for/d/glendale-uv-5r-multi-charger/7416925643.html,,,,new,,,,,,,,,,0,Baofeng,UV-5R,6
"
2021-12-0514:32
",80,https://losangeles.craigslist.org/lac/for/d/glendale-baofeng-uv-82hp-full-set/7416927501.html,,,,new,,,,,,,,,,0,BaoFeng,UV-82HP,0
"
2021-11-2610:39
",99,https://losangeles.craigslist.org/wst/for/d/los-angeles-wildfire-effects-master-uv/7412906946.html,,,,like new,,,,,,,,,,0,0,0,0
"
2021-12-1107:44
",35,https://losangeles.craigslist.org/sfv/mob/d/santa-clarita-phonesoap-uv-light-cell/7419395995.html,,,,excellent,,,,,,,,,,apple iOS,Phonesoap 3,0,0
"
2021-12-2308:39
",40,https://losangeles.craigslist.org/sgv/grd/d/la-puente-185gsm-uv-block-shade-privacy/7424308380.html,,,,new,,,,,,,,,,0,Alion,custom,Custom
"
2021-12-2308:40
",18,https://losangeles.craigslist.org/sgv/grd/d/la-puente-50-sunblock-shade-mesh-uv/7424308451.html,,,,new,,,,,,,,,,0,Alion Home,Garden Net,Custom
"
2021-12-2308:46
",40,https://losangeles.craigslist.org/sgv/grd/d/la-puente-185gsm-uv-block-sun-shade/7424311317.html,,,,new,,,,,,,,,,0,Alion Home,Custom,0
"
2021-12-2308:39
",22,https://losangeles.craigslist.org/sgv/grd/d/la-puente-185gsm-uv-block-shade-privacy/7424308218.html,,,,new,,,,,,,,,,0,Alion Home,custom,Custom
"
2021-12-0806:57
",160,https://losangeles.craigslist.org/sgv/app/d/south-pasadena-homedics-total-clean-in/7418048480.html,,,,,,,,,,,,,,0,Homedics,0,0
"
2021-11-2602:04
",80,https://losangeles.craigslist.org/lac/pho/d/los-angeles-tiffen-neutral-uv-polarizer/7412738929.html,,,,excellent,,,,,,,,,,0,Tiffen Filters,72mm,0
"
2021-12-2221:39
",15,https://losangeles.craigslist.org/wst/app/d/los-angeles-uv-electric-insect-zapper/7424187968.html,,,,like new,,,,,,,,,,0,0,MK-056,0
"
2021-11-2807:38
",10,https://losangeles.craigslist.org/sfv/hab/d/north-hollywood-brand-new-uv-sanitizer/7413628080.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-1509:47
",30,https://losangeles.craigslist.org/wst/pho/d/los-angeles-bw-uv-haze-filter-mrc/7421130584.html,,,,good,,,,,,,,,,0,B+W,0,0
"
2021-12-1509:47
",40,https://losangeles.craigslist.org/wst/pho/d/los-angeles-bw-77mm-uv-haze-mrc-010m/7421130673.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2219:27
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-clear-plastic-film-mil-150/7424167724.html,,,,new,,,,,,,,,,0,247garden,Clear Plastic Film,Different sizes
"
2021-12-2219:27
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-clear-plastic-film-mil-150/7424167670.html,,,,new,,,,,,,,,,0,247garden,Clear Plastic Film,multiple sizes
"
2021-12-1716:30
",30,https://losangeles.craigslist.org/wst/spo/d/marina-del-rey-uv-brite-water-bottle-up/7422152626.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-2218:20
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-90-78x100-uv-proof-green/7424153430.html,,,,new,,,,,,,,,,0,247garden,"90% 7'8""X100' Shade Net","7'8""X100'"
"
2021-12-2218:10
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-247garden-6x50-feet-ground/7424151073.html,,,,new,,,,,,,,,,0,247garden,6X50 Feet Ground Cover,6X50 Feet
"
2021-12-2217:56
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-247garden-3x150-feet-ground/7424147632.html,,,,new,,,,,,,,,,0,247garden,3x150 Feet Ground Cover,3x150 Feet
"
2021-12-2217:56
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-247garden-4x500-feet-ground/7424147547.html,,,,new,,,,,,,,,,0,247garden,4x500 Feet Ground Cover,4x500(2000 Sqft Roll)
"
2021-12-1810:02
",200,https://losangeles.craigslist.org/lac/ele/d/los-angeles-uv-light-sanitizer-portable/7422390260.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-2217:53
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-247garden-3x300-feet-ground/7424146780.html,,,,new,,,,,,,,,,0,247garden,3X300 Feet Ground Cover,3x300 ft.(900 Sqft Roll)
"
2021-12-2217:53
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-247garden-6x30-feet-ground/7424146741.html,,,,new,,,,,,,,,,0,247Garden,6X30 Feet Ground Cover,6X30 Feet
"
2021-12-2217:21
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-247garden-3x20-feet-ground/7424138481.html,,,,new,,,,,,,,,,0,247garden,3x20 Feet Ground Cover,3x20 Feet
"
2021-12-2217:21
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-247garden-5x50-feet-ground/7424138355.html,,,,new,,,,,,,,,,0,247garden,5x50 Feet Ground Cover,5x50 Feet
"
2021-12-1808:25
",10,https://losangeles.craigslist.org/sfv/hab/d/north-hollywood-like-new-sharper-image/7422338564.html,,,,like new,,,,,,,,,,0,0,0,0
"
2021-12-2216:43
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-247garden-4x300-feet-ground/7424127328.html,,,,new,,,,,,,,,,0,247garden,4x300 Feet Ground Cover,4x300 ft.(1200 Sqft Roll)
"
2021-12-0817:31
",21,https://losangeles.craigslist.org/lac/pho/d/los-angeles-zeikos-ze-flk82-82mm-multi/7418356038.html,,,,new,,,,,,,,,,0,Zeikos,ZE-FLK82,0
"
2021-12-1202:28
",5,https://losangeles.craigslist.org/sgv/hsh/d/el-monte-sundearma-uv-sun-protection/7419727750.html,,,,new,,,,,,,,,,0,China,0,0
"
2021-11-2611:49
",3500,https://losangeles.craigslist.org/lac/bfs/d/los-angeles-mr-nuarc-msp-x40-metal/7412942903.html,,,,excellent,,,,,,,,,,0,NuArc / M&R,MSP 3140,0
"
2021-12-2216:12
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-247garden-3x600-feet-ground/7424117821.html,,,,new,,,,,,,,,,0,247garden,3x600 Feet Ground Cover,3x600(1800 Sqft Roll)
