DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,size / dimensions,model name / number,media type
"
2021-12-0419:09
",35,https://losangeles.craigslist.org/lac/hsh/d/los-angeles-vintage-animated-sleeping/7416632666.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-2923:26
",15,https://losangeles.craigslist.org/sfv/hsh/d/chatsworth-new-qt-stainless-whistling/7414428116.html,,,,new,,,,,,,,,,Mmax,6 qt.,0,0
"
2021-12-1013:39
",25,https://losangeles.craigslist.org/lac/for/d/los-angeles-brand-newalexa/7419153183.html,delivery available,deli,,new,,,,,,,,,,0,3 qt,water kettle,0
"
2021-12-1210:47
",90,https://losangeles.craigslist.org/wst/hsh/d/santa-monica-le-creuset-classic-enamel/7419871336.html,,,,new,,,,,,,,,,Le Creuset - France,Qt.,Classic Blue,0
"
2021-11-2210:47
",30,https://losangeles.craigslist.org/lgb/hsh/d/long-beach-red-enamel-tea-kettle-new/7411399552.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-1623:07
",34000,https://losangeles.craigslist.org/lac/ctd/d/los-angeles-1995-toyota-hilux-turbo/7421810768.html,1995 toyota hilux,1995,191234,,,,diesel,,,clean,manual,,,0,0,0,0
"
2021-12-1013:04
",57900,https://losangeles.craigslist.org/lac/ctd/d/miami-2001-porsche-911-turbo-coupe/7419136269.html,2001 porsche 911,2001,76000,,,,gas,,,clean,manual,,,0,0,0,0
"
2021-12-1113:25
",80,https://orangecounty.craigslist.org/atq/d/vintage-arts-deco-kettle/7419573952.html,,,,excellent,,,,,,,,,,Whistling Kettle,7 inches Tall,Solid Copper,0
"
2021-12-0710:44
",20,https://orangecounty.craigslist.org/hsh/d/orange-telco-christmas-motionette/7417720698.html,,,,good,,,,,,,,,,0,0,0,0
"
2021-12-2210:12
",80,https://orangecounty.craigslist.org/atq/d/antique-whistling-copper-tea-kettle/7423967047.html,,,,excellent,,,,,,,,,,Art Deco Kettle,"7"" Tall",Stamped Solid Copper,0
"
2021-12-0420:28
",40,https://orangecounty.craigslist.org/hsh/d/costa-mesa-brandnani-stainless-tea/7416646797.html,,,,excellent,,,,,,,,,,Brandnani,24X22X20H,stainless steel,0
"
2021-12-2310:01
",150,https://orangecounty.craigslist.org/for/d/spring-valley-senegal-parrot/7424347331.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2016:55
",125,https://orangecounty.craigslist.org/tag/d/trabuco-canyon-barbie-dream-house/7423323273.html,,,,excellent,,,,,,,,,,Mattel,0,Dreamhous,0
"
2021-12-1512:28
",1,https://orangecounty.craigslist.org/for/d/tustin-pyro/7421215201.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-3020:08
",0,https://orangecounty.craigslist.org/emd/d/new-disney-snow-white-the-seven-dwarfs/7414860945.html,,,,new,,,,,,,,,,0,0,0,blu-ray
"
2021-11-1212:13
",15,https://orangecounty.craigslist.org/hsh/d/anaheim-whistling-tea-kettle/7407103322.html,,,,new,,,,,,,,,,Medelco,0,0,0
"
2021-12-1310:21
",80,https://inlandempire.craigslist.org/atq/d/antique-motif-art-deco-design-whistling/7420273671.html,,,,excellent,,,,,,,,,,Solid Copper,"7"" Dia. Bottom",Made In U.S.A.,0
"
2021-12-0313:23
",0,https://inlandempire.craigslist.org/for/d/rancho-cucamonga-tarantulas-scorpions/7416071386.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1519:10
",6,https://ventura.craigslist.org/hsh/d/ventura-stove-top-whistling-kettle/7421358697.html,,,,excellent,,,,,,,,,,0,0,0,0
"
2021-12-1322:28
",8,https://ventura.craigslist.org/hsh/d/ventura-12-cup-stovetop-whistling/7420530315.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-1321:17
",8,https://ventura.craigslist.org/hsh/d/ventura-kitchenaid-whistling-kettle-tea/7420520806.html,,,,excellent,,,,,,,,,,0,0,0,0
"
2021-12-1920:32
",25,https://palmsprings.craigslist.org/clt/d/palm-desert-1991-black-bellied/7422953509.html,,,,excellent,,,,,,,,,,US Department of the Interior,0,0,0
