DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,length overall (LOA),make / manufacturer,model name / number,propulsion type,year manufactured,size / dimensions,rv type,bicycle frame material,bicycle type,brake type,electric assist,frame size,handlebar type,wheel size,engine hours (total)
"
2021-12-0419:20
",89000,https://losangeles.craigslist.org/wst/boa/d/earp-280-world-class-cole-cruiser/7416634719.html,,,,,,,,,,,,,,30,Cole,280S,power,2000,0,0,0,0,0,0,0,0,0,0
"
2021-12-0410:57
",0,https://losangeles.craigslist.org/wst/had/d/beverly-hills-japanese-massage-chairs/7416442653.html,,,,new,,,,,,,,,,0,Synca Wellness,JP-1100 KAGRA CirC,0,0,SMALL,0,0,0,0,0,0,0,0,0
"
2021-11-2122:48
",0,https://losangeles.craigslist.org/sfv/fuo/d/valley-village-old-world-antique/7411188988.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2312:24
",480,https://losangeles.craigslist.org/sfv/atq/d/sherman-oaks-rare-ww2-1st-class-german/7424410609.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2306:06
",28495,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2016-mercedes-benz-class-350/7424245696.html,2016 Mercedes-Benz E-Class,2016,63140,,6 cylinders,rwd,gas,blue,mid-size,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2304:07
",45494,https://losangeles.craigslist.org/lgb/ctd/d/torrance-2018-mercedes-benz-class-300/7424220759.html,2018 Mercedes-Benz C-Class,2018,24156,,4 cylinders,rwd,gas,black,sub-compact,clean,automatic,convertible,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2211:54
",61491,https://losangeles.craigslist.org/sgv/ctd/d/valencia-2018-mercedes-benz-class-amg/7424016386.html,2018 Mercedes-Benz E-Class,2018,23623,,6 cylinders,4wd,gas,blue,mid-size,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2207:03
",22000,https://losangeles.craigslist.org/wst/rvs/d/malibu-2002-georgie-boy-suite-life/7423873325.html, Georgie Boy Suite Life, Geo,57000,good,,,gas,,,,automatic,,5B4KP57G61333499,0,0,0,0,0,29 feet,class A,0,0,0,0,0,0,0,0
"
2021-12-2203:13
",29625,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2018-mercedes-benz-class-300/7423819498.html,2018 Mercedes-Benz C-Class,2018,35412,,4 cylinders,rwd,gas,white,compact,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2213:46
",2650,https://losangeles.craigslist.org/wst/ele/d/torrance-plinius-sa-100-mkiii-class-a/7411492661.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1514:30
",3500,https://losangeles.craigslist.org/sfv/ctd/d/santa-paula-2002-mercedes-benz-class/7421268033.html,2002 Mercedes-Benz S-Class,2002,288500,excellent,8 cylinders,rwd,gas,grey,,clean,manual,sedan,WDBNG70JX2A315726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0912:40
",27595,https://losangeles.craigslist.org/lac/ctd/d/costa-mesa-2012-mercedes-benz-cls-class/7418678981.html,2012 Mercedes-Benz CLS,2012,51655,,8 cylinders,4wd,gas,brown,compact,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
